period,pair,repeat,classifier_group,window,block_id,trade_start,trade_end,feedback_end,fallback_model,status,selected_tau,threshold_quantile,raw_threshold,history_blocks,history_days,informative_days,cdf_days,low_mode_advantage,high_mode_advantage,policy_advantage_mean,policy_advantage_lcb,fit_start_date,fit_end_date,history_blocks_before,history_days_before,history_end_before,history_blocks_after,history_days_after,history_end_after,block_decision_days,block_informative_days,outcomes_added_only_after_block
2019,a2c_ppo,0,3,1,2019-window-1,2019-01-02,2019-04-02,2019-04-02,ppo,warmup_collection,,,,0,0,,,,,,,,,0,0,,1,62,2019-04-02,62,0,True
2019,a2c_ppo,0,3,2,2019-window-2,2019-04-03,2019-07-02,2019-07-02,a2c,warmup_collection,,,,1,62,,,,,,,,2019-04-02,1,62,2019-04-02,2,124,2019-07-02,62,11,True
2019,a2c_ppo,0,3,3,2019-window-3,2019-07-03,2019-10-01,2019-10-01,ppo,warmup_collection,,,,2,124,,,,,,,,2019-07-02,2,124,2019-07-02,3,186,2019-10-01,62,19,True
2019,a2c_ppo,0,3,4,2019-window-4,2019-10-02,2019-12-31,2019-12-31,a2c,warmup_collection,,,,3,186,,,,,,,,2019-10-01,3,186,2019-10-01,4,248,2019-12-31,62,0,True
2020,a2c_ppo,0,3,1,2020-window-1,2020-01-02,2020-04-01,2020-04-01,a2c,fallback_insufficient_informative_days,,,,4,248,30.0,248.0,,,,,2019-01-02,2019-12-31,4,248,2019-12-31,5,310,2020-04-01,62,0,True
2020,a2c_ppo,0,3,2,2020-window-2,2020-04-02,2020-07-01,2020-07-01,ppo,fallback_insufficient_informative_days,,,,5,310,30.0,252.0,,,,,2019-01-02,2020-04-01,5,310,2020-04-01,6,372,2020-07-01,62,5,True
2020,a2c_ppo,0,3,3,2020-window-3,2020-07-02,2020-09-30,2020-09-30,a2c,fallback_insufficient_informative_days,,,,6,372,35.0,252.0,,,,,2019-01-02,2020-07-01,6,372,2020-07-01,7,434,2020-09-30,62,62,True
2020,a2c_ppo,0,3,4,2020-window-4,2020-10-01,2020-12-31,2020-12-31,a2c,fallback_insufficient_crossover_support,,0.545,,7,434,97.0,252.0,0.0003549990128066,-0.0030056126789844,,,2019-01-02,2020-09-30,7,434,2020-09-30,8,497,2020-12-31,63,28,True
2019,a2c_ppo,0,1,1,2019-window-1,2019-01-02,2019-04-02,2019-04-02,ppo,warmup_collection,,,,0,0,,,,,,,,,0,0,,1,62,2019-04-02,62,62,True
2019,a2c_ppo,0,1,2,2019-window-2,2019-04-03,2019-07-02,2019-07-02,a2c,warmup_collection,,,,1,62,,,,,,,,2019-04-02,1,62,2019-04-02,2,124,2019-07-02,62,62,True
2019,a2c_ppo,0,1,3,2019-window-3,2019-07-03,2019-10-01,2019-10-01,ppo,warmup_collection,,,,2,124,,,,,,,,2019-07-02,2,124,2019-07-02,3,186,2019-10-01,62,62,True
2019,a2c_ppo,0,1,4,2019-window-4,2019-10-02,2019-12-31,2019-12-31,a2c,warmup_collection,,,,3,186,,,,,,,,2019-10-01,3,186,2019-10-01,4,248,2019-12-31,62,62,True
2020,a2c_ppo,0,1,1,2020-window-1,2020-01-02,2020-04-01,2020-04-01,a2c,fallback_nonpositive_policy_lcb,,0.655,0.2259911289069933,4,248,248.0,248.0,0.0002964928353958,-0.0001400754149739,-6.821435532000883e-05,-0.000162234813669,2019-01-02,2019-12-31,4,248,2019-12-31,5,310,2020-04-01,62,62,True
2020,a2c_ppo,0,1,2,2020-window-2,2020-04-02,2020-07-01,2020-07-01,ppo,fallback_nonpositive_policy_lcb,,0.485,0.2401611559258928,5,310,310.0,252.0,0.0002964928353958,-6.220278593287726e-05,-7.141713256277334e-05,-0.0001482743310295,2019-01-02,2020-04-01,5,310,2020-04-01,6,372,2020-07-01,62,62,True
2020,a2c_ppo,0,1,3,2020-window-3,2020-07-02,2020-09-30,2020-09-30,a2c,fallback_nonpositive_policy_lcb,,0.325,0.2391008542345819,6,372,372.0,252.0,6.858651591026365e-06,-0.0001430795893004,-6.417106443344642e-05,-0.0001252572851845,2019-01-02,2020-07-01,6,372,2020-07-01,7,434,2020-09-30,62,62,True
2020,a2c_ppo,0,1,4,2020-window-4,2020-10-01,2020-12-31,2020-12-31,a2c,fallback_no_mode_crossover,,,,7,434,434.0,252.0,-5.978723249019657e-05,-0.0001430795893004,,,2019-01-02,2020-09-30,7,434,2020-09-30,8,497,2020-12-31,63,63,True
2019,a2c_ppo,1,1,1,2019-window-1,2019-01-02,2019-04-02,2019-04-02,ppo,warmup_collection,,,,0,0,,,,,,,,,0,0,,1,62,2019-04-02,62,62,True
2019,a2c_ppo,1,1,2,2019-window-2,2019-04-03,2019-07-02,2019-07-02,a2c,warmup_collection,,,,1,62,,,,,,,,2019-04-02,1,62,2019-04-02,2,124,2019-07-02,62,62,True
2019,a2c_ppo,1,1,3,2019-window-3,2019-07-03,2019-10-01,2019-10-01,ppo,warmup_collection,,,,2,124,,,,,,,,2019-07-02,2,124,2019-07-02,3,186,2019-10-01,62,62,True
2019,a2c_ppo,1,1,4,2019-window-4,2019-10-02,2019-12-31,2019-12-31,a2c,warmup_collection,,,,3,186,,,,,,,,2019-10-01,3,186,2019-10-01,4,248,2019-12-31,62,62,True
2020,a2c_ppo,1,1,1,2020-window-1,2020-01-02,2020-04-01,2020-04-01,a2c,fallback_nonpositive_policy_lcb,,0.655,0.2259911289069933,4,248,248.0,248.0,0.0002964928353958,-0.0001400754149739,-6.821435532000883e-05,-0.000162234813669,2019-01-02,2019-12-31,4,248,2019-12-31,5,310,2020-04-01,62,62,True
2020,a2c_ppo,1,1,2,2020-window-2,2020-04-02,2020-07-01,2020-07-01,ppo,fallback_nonpositive_policy_lcb,,0.485,0.2401611559258928,5,310,310.0,252.0,0.0002964928353958,-1.379862833306077e-05,-8.224344551667229e-05,-0.0001689195041448,2019-01-02,2020-04-01,5,310,2020-04-01,6,372,2020-07-01,62,62,True
2020,a2c_ppo,1,1,3,2020-window-3,2020-07-02,2020-09-30,2020-09-30,a2c,fallback_nonpositive_policy_lcb,,0.325,0.2391008542345819,6,372,372.0,252.0,2.4431751197199043e-05,-9.53524129258132e-05,-6.955895664643584e-05,-0.0001411692074342,2019-01-02,2020-07-01,6,372,2020-07-01,7,434,2020-09-30,62,62,True
2020,a2c_ppo,1,1,4,2020-window-4,2020-10-01,2020-12-31,2020-12-31,a2c,fallback_no_mode_crossover,,,,7,434,434.0,252.0,-3.15394689160281e-05,-9.53524129258132e-05,,,2019-01-02,2020-09-30,7,434,2020-09-30,8,497,2020-12-31,63,63,True
2019,a2c_ppo,1,3,1,2019-window-1,2019-01-02,2019-04-02,2019-04-02,ppo,warmup_collection,,,,0,0,,,,,,,,,0,0,,1,62,2019-04-02,62,0,True
