period,pair,repeat,classifier_group,window,classifier_seed,classifier_count,classifier_names,calibration_start,calibration_end,trade_start
2019,a2c_ppo,0,3,1,1810353286,2,decision_tree_gini;decision_tree_entropy,2018-10-01,2018-12-31,2019-01-02
2019,a2c_ppo,0,3,2,2116740826,2,decision_tree_gini;decision_tree_entropy,2019-01-02,2019-04-02,2019-04-03
2019,a2c_ppo,0,3,3,1441144309,2,decision_tree_gini;decision_tree_entropy,2019-04-03,2019-07-02,2019-07-03
2019,a2c_ppo,0,3,4,144875481,2,decision_tree_gini;decision_tree_entropy,2019-07-03,2019-10-01,2019-10-02
2020,a2c_ppo,0,3,1,1810353286,2,decision_tree_gini;decision_tree_entropy,2019-10-02,2019-12-31,2020-01-02
2020,a2c_ppo,0,3,2,2116740826,2,decision_tree_gini;decision_tree_entropy,2020-01-02,2020-04-01,2020-04-02
2020,a2c_ppo,0,3,3,1441144309,2,decision_tree_gini;decision_tree_entropy,2020-04-02,2020-07-01,2020-07-02
2020,a2c_ppo,0,3,4,144875481,2,decision_tree_gini;decision_tree_entropy,2020-07-02,2020-09-30,2020-10-01
2019,a2c_ppo,0,1,1,293963830,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2018-10-01,2018-12-31,2019-01-02
2019,a2c_ppo,0,1,2,1907078753,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2019-01-02,2019-04-02,2019-04-03
2019,a2c_ppo,0,1,3,807032213,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2019-04-03,2019-07-02,2019-07-03
2019,a2c_ppo,0,1,4,1031194101,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2019-07-03,2019-10-01,2019-10-02
2020,a2c_ppo,0,1,1,293963830,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2019-10-02,2019-12-31,2020-01-02
2020,a2c_ppo,0,1,2,1907078753,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2020-01-02,2020-04-01,2020-04-02
2020,a2c_ppo,0,1,3,807032213,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2020-04-02,2020-07-01,2020-07-02
2020,a2c_ppo,0,1,4,1031194101,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2020-07-02,2020-09-30,2020-10-01
2019,a2c_ppo,1,1,1,1237222008,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2018-10-01,2018-12-31,2019-01-02
2019,a2c_ppo,1,1,2,1754070145,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2019-01-02,2019-04-02,2019-04-03
2019,a2c_ppo,1,1,3,1588250032,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2019-04-03,2019-07-02,2019-07-03
2019,a2c_ppo,1,1,4,407597822,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2019-07-03,2019-10-01,2019-10-02
2020,a2c_ppo,1,1,1,1237222008,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2019-10-02,2019-12-31,2020-01-02
2020,a2c_ppo,1,1,2,1754070145,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2020-01-02,2020-04-01,2020-04-02
2020,a2c_ppo,1,1,3,1588250032,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2020-04-02,2020-07-01,2020-07-02
2020,a2c_ppo,1,1,4,407597822,4,svm_rbf;svm_linear;svm_poly;svm_sigmoid,2020-07-02,2020-09-30,2020-10-01
2019,a2c_ppo,1,3,1,31812464,2,decision_tree_gini;decision_tree_entropy,2018-10-01,2018-12-31,2019-01-02
2019,a2c_ppo,1,3,2,318885825,2,decision_tree_gini;decision_tree_entropy,2019-01-02,2019-04-02,2019-04-03
2019,a2c_ppo,1,3,3,780603169,2,decision_tree_gini;decision_tree_entropy,2019-04-03,2019-07-02,2019-07-03
2019,a2c_ppo,1,3,4,1422363628,2,decision_tree_gini;decision_tree_entropy,2019-07-03,2019-10-01,2019-10-02
2020,a2c_ppo,1,3,1,31812464,2,decision_tree_gini;decision_tree_entropy,2019-10-02,2019-12-31,2020-01-02
2020,a2c_ppo,1,3,2,318885825,2,decision_tree_gini;decision_tree_entropy,2020-01-02,2020-04-01,2020-04-02
2020,a2c_ppo,1,3,3,780603169,2,decision_tree_gini;decision_tree_entropy,2020-04-02,2020-07-01,2020-07-02
2020,a2c_ppo,1,3,4,1422363628,2,decision_tree_gini;decision_tree_entropy,2020-07-02,2020-09-30,2020-10-01
2019,a2c_ppo,0,2,1,879788809,3,logistic_l1;logistic_l2;logistic_elasticnet,2018-10-01,2018-12-31,2019-01-02
2019,a2c_ppo,0,2,2,311557415,3,logistic_l1;logistic_l2;logistic_elasticnet,2019-01-02,2019-04-02,2019-04-03
2019,a2c_ppo,0,2,3,1409453121,3,logistic_l1;logistic_l2;logistic_elasticnet,2019-04-03,2019-07-02,2019-07-03
2019,a2c_ppo,0,2,4,577736275,3,logistic_l1;logistic_l2;logistic_elasticnet,2019-07-03,2019-10-01,2019-10-02
2020,a2c_ppo,0,2,1,879788809,3,logistic_l1;logistic_l2;logistic_elasticnet,2019-10-02,2019-12-31,2020-01-02
2020,a2c_ppo,0,2,2,311557415,3,logistic_l1;logistic_l2;logistic_elasticnet,2020-01-02,2020-04-01,2020-04-02
2020,a2c_ppo,0,2,3,1409453121,3,logistic_l1;logistic_l2;logistic_elasticnet,2020-04-02,2020-07-01,2020-07-02
2020,a2c_ppo,0,2,4,577736275,3,logistic_l1;logistic_l2;logistic_elasticnet,2020-07-02,2020-09-30,2020-10-01
2019,a2c_ppo,0,4,1,643588362,7,svm_rbf;svm_linear;svm_poly;svm_sigmoid;logistic_l1;logistic_l2;logistic_elasticnet,2018-10-01,2018-12-31,2019-01-02
2019,a2c_ppo,0,4,2,1692537943,7,svm_rbf;svm_linear;svm_poly;svm_sigmoid;logistic_l1;logistic_l2;logistic_elasticnet,2019-01-02,2019-04-02,2019-04-03
2019,a2c_ppo,0,4,3,151187264,7,svm_rbf;svm_linear;svm_poly;svm_sigmoid;logistic_l1;logistic_l2;logistic_elasticnet,2019-04-03,2019-07-02,2019-07-03
2019,a2c_ppo,0,4,4,74400172,7,svm_rbf;svm_linear;svm_poly;svm_sigmoid;logistic_l1;logistic_l2;logistic_elasticnet,2019-07-03,2019-10-01,2019-10-02
