benchmark,success_column,feature,feature_label,feature_stage,successful_configs,failed_configs,successful_mean,failed_mean,mean_difference,cliffs_delta,pooled_descriptive_permutation_p,primary_permutation_p,analysis_unit,permutation_q_bh
Causal single,success_vs_causal,realized_block_advantage_mean,Realized block log advantage,realized_mechanism,12,3,9.954317231820972e-05,3.342727039346523e-05,6.611590192474448e-05,0.7777777777777778,0.03736263736263736,0.04,classifier_groups_permuted_within_rl_pair,0.8
Causal single,success_vs_causal,mean_threshold_quantile,Mean threshold quantile,decision_structure,12,3,0.5254149325007706,0.3404752900490852,0.18493964245168543,0.3888888888888889,0.3032967032967033,0.136,classifier_groups_permuted_within_rl_pair,0.8
Causal single,success_vs_causal,mean_selected_tau,Mean selected tau,decision_structure,12,3,0.24206266396307696,0.19034889558232926,0.051713768380747704,0.3333333333333333,0.3626373626373626,0.144,classifier_groups_permuted_within_rl_pair,0.8
Causal single,success_vs_causal,selected_agent_switch_rate,Selected-agent switch rate,decision_structure,12,3,0.014437724014336918,0.022983870967741935,-0.008546146953405017,-0.16666666666666666,0.3120879120879121,0.16,classifier_groups_permuted_within_rl_pair,0.8
Causal single,success_vs_causal,selected_block_win_rate,Selected-block win rate,realized_mechanism,12,3,0.612231629720854,0.4479166666666667,0.1643149630541873,0.3055555555555556,0.3054945054945055,0.256,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,crossover_persistence_rate,Supported crossover persistence,realized_mechanism,12,3,0.18222222222222223,0.0,0.18222222222222223,0.6,0.2857142857142857,0.4,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,mode_gap_balance,Two-sided mode-gap balance,realized_mechanism,12,3,0.907217138680802,0.9234538136231937,-0.01623667494239167,-0.2222222222222222,0.5846153846153846,0.464,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,mean_vote_margin,Vote margin,decision_structure,12,3,0.5351395883357061,0.6557042986761862,-0.12056471034048011,-0.2777777777777778,0.5164835164835165,0.544,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,ensemble_mode_hit_rate,Mode hit rate,realized_mechanism,12,3,0.6155874943644674,0.655926746412172,-0.04033925204770461,0.2222222222222222,0.5494505494505495,0.576,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,branch_divergence_rate,Branch divergence rate,decision_structure,12,3,0.8417782240071395,0.737037037037037,0.10474118697010248,0.05555555555555555,0.6615384615384615,0.68,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,selected_day_rate,Active day rate,decision_structure,12,3,0.6360330209727799,0.5666220437304775,0.06941097724230239,0.08333333333333333,0.7384615384615385,0.688,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,aggressive_day_rate,Aggressive day rate,decision_structure,12,3,0.3234605087014726,0.2209281570727354,0.1025323516287372,0.1111111111111111,0.6505494505494506,0.728,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,historical_policy_advantage_mean,Historical policy advantage,realized_mechanism,12,3,-2.568140331243002e-05,-2.578586611857134e-05,1.0446280614132193e-07,0.0,0.9846153846153847,0.968,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,base_block_rank_switches,Base block-rank switches,pair_retrospective,12,3,2.6666666666666665,2.6666666666666665,0.0,0.0,1.0,1.0,3_rl_pair_clusters,1.0
Causal single,success_vs_causal,base_dominance_index,Base dominance index,pair_retrospective,12,3,0.03118833323196496,0.03118833323196496,0.0,0.0,1.0,1.0,3_rl_pair_clusters,1.0
Causal single,success_vs_causal,base_return_correlation,Base return correlation,pair_retrospective,12,3,0.86410252400866,0.86410252400866,0.0,0.0,1.0,1.0,3_rl_pair_clusters,1.0
Causal single,success_vs_causal,base_sharpe_gap,Base Sharpe gap,pair_retrospective,12,3,0.21772675849327117,0.21772675849327114,2.7755575615628914e-17,0.0,1.0,1.0,3_rl_pair_clusters,1.0
Causal single,success_vs_causal,mean_counterfactual_regret,Counterfactual regret,realized_mechanism,12,3,0.0003414814473394752,0.00033963343758389766,1.848009755577517e-06,-0.3333333333333333,0.989010989010989,1.0,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,mean_holding_dispersion,Holding dispersion,decision_structure,12,3,0.23104613713230157,0.2310461371323016,-2.7755575615628914e-17,0.0,1.0,1.0,classifier_groups_permuted_within_rl_pair,1.0
Causal single,success_vs_causal,weaker_better_day_rate,Weaker-model daily win rate,pair_retrospective,12,3,0.49867724867724866,0.49867724867724866,0.0,0.0,1.0,1.0,3_rl_pair_clusters,1.0
Stronger single,success_vs_stronger,realized_block_advantage_mean,Realized block log advantage,realized_mechanism,7,8,0.00013039361120668308,4.7755575069016325e-05,8.263803613766676e-05,0.9642857142857143,0.0004662004662004662,0.02,classifier_groups_permuted_within_rl_pair,0.38
Stronger single,success_vs_stronger,branch_divergence_rate,Branch divergence rate,decision_structure,7,8,0.9264486517498566,0.7284136546184738,0.19803499713138273,0.32142857142857145,0.15244755244755245,0.08,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,mean_selected_tau,Mean selected tau,decision_structure,7,8,0.26323536938286285,0.20414388357798394,0.05909148580487891,0.25,0.1710955710955711,0.14,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,mean_threshold_quantile,Mean threshold quantile,decision_structure,7,8,0.5697969671128639,0.41722828629580705,0.15256868081705682,0.25,0.2772338772338772,0.14,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,weaker_better_day_rate,Weaker-model daily win rate,pair_retrospective,7,8,0.5102040816326531,0.4885912698412698,0.021612811791383246,0.7142857142857143,0.016317016317016316,0.16666666666666666,3_rl_pair_clusters,0.6333333333333333
Stronger single,success_vs_stronger,ensemble_mode_hit_rate,Mode hit rate,realized_mechanism,7,8,0.5988845235333491,0.6453298133595853,-0.04644528982623619,-0.03571428571428571,0.356021756021756,0.32,classifier_groups_permuted_within_rl_pair,0.6333333333333333
Stronger single,success_vs_stronger,base_block_rank_switches,Base block-rank switches,pair_retrospective,7,8,3.0,2.375,0.625,0.625,0.02564102564102564,0.3333333333333333,3_rl_pair_clusters,0.6333333333333333
Stronger single,success_vs_stronger,base_dominance_index,Base dominance index,pair_retrospective,7,8,0.01674690563377079,0.04382458238038486,-0.027077676746614075,-0.7142857142857143,0.024087024087024088,0.3333333333333333,3_rl_pair_clusters,0.6333333333333333
Stronger single,success_vs_stronger,base_return_correlation,Base return correlation,pair_retrospective,7,8,0.8400693134637051,0.8851315832354955,-0.0450622697717904,-0.7142857142857143,0.024087024087024088,0.3333333333333333,3_rl_pair_clusters,0.6333333333333333
Stronger single,success_vs_stronger,mode_gap_balance,Two-sided mode-gap balance,realized_mechanism,7,8,0.8914669715718215,0.9270872880045571,-0.035620316432735555,-0.5,0.13333333333333333,0.36,classifier_groups_permuted_within_rl_pair,0.6333333333333333
