pair,classifier_group,selected_global_tau,stronger_component,ensemble_cumulative_return,component_cumulative_return,ensemble_sharpe,component_sharpe,ensemble_calmar,component_calmar,ensemble_max_drawdown,component_max_drawdown,delta_sharpe_ci_low,delta_sharpe_ci_high,wins_vs_stronger,n_backtests,delta_cumulative_return,delta_sharpe,delta_calmar,delta_max_drawdown,beats_global_best_single_sharpe
a2c_ppo,1,0.27,a2c,0.3564255993770008,0.33450637873000155,1.6767844790669892,1.1603474032763805,4.20770584445153,1.4987554367859073,-0.10804515694308216,-0.2840894562637336,0.5157715993683414,0.5171025522128758,30,30,0.02191922064699925,0.5164370757906087,2.708950407665623,0.17604429932065147,False
a2c_ppo,2,0.25,a2c,0.3988660134900007,0.33450637873000155,1.8917964690779372,1.1603474032763805,5.364484836681035,1.4987554367859073,-0.09521298936461023,-0.2840894562637336,0.7314490658015561,0.7314490658015561,30,30,0.06435963475999917,0.7314490658015567,3.8657293998951276,0.18887646689912338,False
a2c_ppo,3,0.25,a2c,0.2581010020890015,0.33450637873000155,1.0343542409796953,1.1603474032763805,1.3529594940148024,1.4987554367859073,-0.2523957836287471,-0.2840894562637336,-0.25291011516897444,0.0009237905756041276,19,30,-0.07640537664100006,-0.12599316229668522,-0.14579594277110486,0.031693672634986514,False
a2c_ppo,4,0.25,a2c,0.4024832571380011,0.33450637873000155,1.9825212217402628,1.1603474032763805,5.453038489202211,1.4987554367859073,-0.09454774936231626,-0.2840894562637336,0.8209368322118854,0.8234108047158802,30,30,0.06797687840799954,0.8221738184638823,3.9542830524163035,0.18954170690141736,True
a2c_ppo,5,0.25,a2c,0.38897272151233475,0.33450637873000155,1.9059879874506052,1.1603474032763805,5.224870222675896,1.4987554367859073,-0.09524819561372869,-0.2840894562637336,0.7356578817865495,0.7556232865619005,30,30,0.0544663427823332,0.7456405841742246,3.7261147858899886,0.18884126065000492,False
a2c_sac,1,0.53,sac,0.5609722789406675,0.6731917202899995,1.928639293609098,1.9675080267095597,3.372713000502272,4.030630429924325,-0.21610031698126064,-0.2190157747037773,-0.07704175574160627,-0.0006957104593175584,18,30,-0.11221944134933204,-0.038868733100461794,-0.6579174294220529,0.002915457722516668,False
a2c_sac,2,0.53,sac,0.5261662284420001,0.6731917202899995,1.8196006285513087,1.9675080267095597,2.813379702889873,4.030630429924325,-0.2422342557234628,-0.2190157747037773,-0.1484164901824101,-0.14739830613409238,0,30,-0.1470254918479994,-0.14790739815825105,-1.2172507270344521,-0.02321848101968549,False
a2c_sac,3,0.4,sac,0.35514363285933476,0.6731917202899995,1.2827011097174956,1.9675080267095597,1.8086682136584658,4.030630429924325,-0.2570401053471358,-0.2190157747037773,-0.7571085453309283,-0.6125052886532005,0,30,-0.31804808743066476,-0.6848069169920641,-2.221962216265859,-0.03802433064335847,False
a2c_sac,4,0.53,sac,0.5436909683353337,0.6731917202899995,1.8799671309603994,1.9675080267095597,3.086501826598727,4.030630429924325,-0.22867563830986656,-0.2190157747037773,-0.10230672684659871,-0.07277506465172075,2,30,-0.12950075195466582,-0.08754089574916035,-0.944128603325598,-0.009659863606089253,False
a2c_sac,5,0.53,sac,0.5188232187166671,0.6731917202899995,1.795190731339004,1.9675080267095597,2.778534279461362,4.030630429924325,-0.2417095347846467,-0.2190157747037773,-0.17657874075646002,-0.16805584998465095,0,30,-0.15436850157333237,-0.17231729537055562,-1.2520961504629629,-0.022693760080869402,False
ppo_sac,1,0.61,sac,0.7366360683126667,0.6731917202899995,2.4045545186805133,1.9675080267095597,9.617419164898015,4.030630429924325,-0.1009563706808819,-0.2190157747037773,0.4323532447247164,0.4417397392171906,30,30,0.06344434802266719,0.4370464919709536,5.58678873497369,0.11805940402289541,True
ppo_sac,2,0.61,sac,0.40332607322066766,0.6731917202899995,2.6013428052456056,1.9675080267095597,6.44030362648534,4.030630429924325,-0.0802286566461941,-0.2190157747037773,0.6234806353847645,0.6441889216873259,30,30,-0.26986564706933186,0.6338347785360459,2.409673196561015,0.1387871180575832,True
ppo_sac,3,0.48,sac,0.057632155440001075,0.6731917202899995,0.7336146676180789,1.9675080267095597,1.4179755984442106,4.030630429924325,-0.06600859484591184,-0.2190157747037773,-1.3512969847722143,-1.116489733410748,0,30,-0.6155595648499984,-1.2338933590914807,-2.612654831480114,0.15300717985786547,False
ppo_sac,4,0.61,sac,0.6646659738393339,0.6731917202899995,2.3267129016720975,1.9675080267095597,8.475966835267277,4.030630429924325,-0.1027776581752453,-0.2190157747037773,0.35072413397109,0.36768561595398713,30,30,-0.008525746450665617,0.35920487496253783,4.445336405342952,0.11623811652853201,True
ppo_sac,5,0.61,sac,0.6075780331480005,0.6731917202899995,2.2329990210320587,1.9675080267095597,7.944715710362065,4.030630429924325,-0.09974108595089572,-0.2190157747037773,0.26273240792088354,0.2682495807241146,30,30,-0.065613687141999,0.265490994322499,3.9140852804377397,0.1192746887528816,True
