date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2019-11-01,a2c_ppo,ensemble,equity,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0
2019-11-04,a2c_ppo,ensemble,equity,1000125.8846199998,2.3681094297934687e-10,1000125.8846199997,1000125.8846199999,1000125.88462,1000125.88462
2019-11-05,a2c_ppo,ensemble,equity,1000232.3376000001,0.0,1000232.3376000001,1000232.3376000001,1000232.3376000001,1000232.3376000001
2019-11-06,a2c_ppo,ensemble,equity,1000076.9944100005,3.552164144690203e-10,1000076.9944100004,1000076.9944100006,1000076.9944100002,1000076.9944100002
2019-11-07,a2c_ppo,ensemble,equity,1000135.8210199999,3.552164144690203e-10,1000135.8210199998,1000135.82102,1000135.8210200003,1000135.8210200003
2019-11-08,a2c_ppo,ensemble,equity,999998.6614499997,5.920273574483671e-10,999998.6614499994,999998.6614499999,999998.6614500002,999998.6614500002
2019-11-11,a2c_ppo,ensemble,equity,998287.5781299996,7.104328289380406e-10,998287.5781299993,998287.5781299998,998287.5781300003,998287.5781300003
2019-11-12,a2c_ppo,ensemble,equity,998725.5690100006,2.3681094297934687e-10,998725.5690100004,998725.5690100007,998725.5690100003,998725.5690100003
2019-11-13,a2c_ppo,ensemble,equity,997301.3906690008,96.09825552640154,997265.5069906554,997337.2743473462,997249.2665200003,997472.6557300001
2019-11-14,a2c_ppo,ensemble,equity,997751.3333969997,48.86553497146245,997733.0867063655,997769.580087634,997730.4702300001,997873.7878600003
2019-11-15,a2c_ppo,ensemble,equity,997567.1456983336,109.26241994638536,997526.3464402086,997607.9449564586,997502.74383,997975.6392000004
2019-11-18,a2c_ppo,ensemble,equity,998060.5048250004,330.88676872453783,997936.9496749867,998184.0599750142,997795.31643,999299.7272000004
2019-11-19,a2c_ppo,ensemble,equity,999507.860158334,553.7860892470278,999301.0730341579,999714.6472825102,999010.5486800001,1001689.7172000005
2019-11-20,a2c_ppo,ensemble,equity,998822.5335583341,484.7704712395201,998641.5172894541,999003.5498272141,998430.5858800003,1000802.0609000006
2019-11-21,a2c_ppo,ensemble,equity,997581.2653756674,341.1588051749013,997453.874584206,997708.6561671287,997386.2742400003,999066.4489000005
2019-11-22,a2c_ppo,ensemble,equity,997719.3701196675,351.37259534572127,997588.1654362768,997850.5748030582,997523.0968000002,999247.1754000005
2019-11-25,a2c_ppo,ensemble,equity,997664.9080770009,374.76684925409785,997524.9678356359,997804.8483183659,997461.7901200001,999289.8815000004
2019-11-26,a2c_ppo,ensemble,equity,998377.3302603338,350.7159359830425,998246.3707775789,998508.2897430888,998182.3371600001,999893.5136000003
2019-11-27,a2c_ppo,ensemble,equity,998760.4009170005,367.1162716582298,998623.3174482596,998897.4843857414,998561.9317099999,1000384.0903500002
2019-11-28,a2c_ppo,ensemble,equity,1000143.983670334,359.9612921862327,1000009.5719148363,1000278.3954258317,999947.08507,1001722.1255100003
2019-11-29,a2c_ppo,ensemble,equity,999146.3897970002,359.6246882110867,999012.1037314925,999280.6758625079,998949.56543,1000722.3788700002
2019-12-02,a2c_ppo,ensemble,equity,999106.2999370004,359.6246882110869,998972.0138714927,999240.5860025081,998909.4755699999,1000682.2890100002
2019-12-03,a2c_ppo,ensemble,equity,999373.7118969994,359.6246882110869,999239.4258314917,999507.9979625071,999176.8875299998,1000949.7009700001
2019-12-04,a2c_ppo,ensemble,equity,998147.5416170002,359.6246882110869,998013.2555514926,998281.8276825079,997950.7172499998,999723.53069
2019-12-05,a2c_ppo,ensemble,equity,1000692.1145669997,359.62468821108683,1000557.828501492,1000826.4006325074,1000495.2901999997,1002268.10364
2019-12-06,a2c_ppo,ensemble,equity,1003418.6814170002,359.6246882110869,1003284.3953514926,1003552.9674825079,1003221.8570499998,1004994.67049
2019-12-09,a2c_ppo,ensemble,equity,1003916.0991270001,359.6246882110867,1003781.8130614924,1004050.3851925078,1003719.2747599998,1005492.0882000001
2019-12-10,a2c_ppo,ensemble,equity,1003315.7176270002,359.6246882110867,1003181.4315614925,1003450.0036925079,1003118.8932599998,1004891.7067000001
2019-12-11,a2c_ppo,ensemble,equity,1003937.7982870005,359.62468821108695,1003803.5122214928,1004072.0843525082,1003740.9739199999,1005513.7873600002
2019-12-12,a2c_ppo,ensemble,equity,1003928.4866569997,359.62468821108695,1003794.200591492,1004062.7727225074,1003731.6622899999,1005504.4757300002
2019-12-13,a2c_ppo,ensemble,equity,1005303.125277,359.62468821108683,1005168.8392114923,1005437.4113425077,1005106.30091,1006879.1143500003
2019-12-16,a2c_ppo,ensemble,equity,1006674.3180070005,359.6246882110869,1006540.0319414928,1006808.6040725082,1006477.49364,1008250.3070800003
2019-12-17,a2c_ppo,ensemble,equity,1006497.1264369996,359.62468821108695,1006362.840371492,1006631.4125025073,1006300.3020699999,1008073.1155100001
2019-12-18,a2c_ppo,ensemble,equity,1005867.980337,359.62468821108683,1005733.6942714923,1006002.2664025077,1005671.15597,1007443.9694100003
2019-12-19,a2c_ppo,ensemble,equity,1005485.0532370004,359.6246882110869,1005350.7671714927,1005619.339302508,1005288.2288699999,1007061.0423100002
2019-12-20,a2c_ppo,ensemble,equity,1002933.1873370002,359.6246882110867,1002798.9012714925,1003067.4734025078,1002736.3629699999,1004509.1764100002
2019-12-23,a2c_ppo,ensemble,equity,1002597.0642870005,359.62468821108695,1002462.7782214928,1002731.3503525081,1002400.2399199998,1004173.0533600001
2019-12-24,a2c_ppo,ensemble,equity,1002514.3705170006,359.6246882110517,1002380.0844514929,1002648.6565825082,1002317.5461500001,1004090.3595900002
2019-12-27,a2c_ppo,ensemble,equity,1002288.138927,359.62468821108683,1002153.8528614923,1002422.4249925077,1002091.31456,1003864.1280000003
2019-12-30,a2c_ppo,ensemble,equity,1001765.4632370005,359.6246882110869,1001631.1771714928,1001899.7493025082,1001568.63887,1003341.4523100003
