window,model,checkpoint,sha256,training_seed,selected_validation_step,retrained_in_backtests
1,a2c,work/core_hstech10_candidates/models/agent_a2c_rolling_w1_100000_seed42_best.zip,fe34cdbf5629749c32060c4ced5422a10b5e445d953dcdd965ea0556008f9806,42,100000,False
1,ppo,work/core_hstech10_candidates/models/agent_ppo_rolling_w1_100000_seed42_best.zip,71f9af0a1020eee5213871dec050f8e9fd758831840c54502469f3906cd67990,42,20000,False
1,sac,work/core_hstech10_candidates/models/agent_sac_rolling_w1_100000_seed42_best.zip,2f414590089cc6264fd36b70ca5c8a3693997d0f818f2c3998d84780358b511e,42,20000,False
2,a2c,work/core_hstech10_candidates/models/agent_a2c_rolling_w2_100000_seed42_best.zip,9d0765bd87f834a528433cfe541d715f9c05b9aea5addc38082897df0bab556d,42,100000,False
2,ppo,work/core_hstech10_candidates/models/agent_ppo_rolling_w2_100000_seed42_best.zip,636ee498d79d4d6bed0b2472e91c6cce6651fc7a5ed83449ab9ac6aa9f670c44,42,80000,False
2,sac,work/core_hstech10_candidates/models/agent_sac_rolling_w2_100000_seed42_best.zip,568ed5e134d3022d613afd47e9f6b188071439d893d2a1620c852204aae04901,42,20000,False
3,a2c,work/core_hstech10_candidates/models/agent_a2c_rolling_w3_100000_seed42_best.zip,23fcf285a459d7008f93d9f229b3043e75be430a25d908d9109b4b29253da7d1,42,20000,False
3,ppo,work/core_hstech10_candidates/models/agent_ppo_rolling_w3_100000_seed42_best.zip,7214ccf13523a66ca17e1c2a65fd7bf59e4bcb9b1ae114a3caa41e0edbca144b,42,60000,False
3,sac,work/core_hstech10_candidates/models/agent_sac_rolling_w3_100000_seed42_best.zip,8042b17b8edccdbbab6733f07be57c679ee14b57e23635629f4f42ff9ae0c11f,42,20000,False
4,a2c,work/core_hstech10_candidates/models/agent_a2c_rolling_w4_100000_seed42_best.zip,9fb2bc7cf7ee503566db68890360cabdc2c4315e3ccc5f8e0f90c453afd68d15,42,60000,False
4,ppo,work/core_hstech10_candidates/models/agent_ppo_rolling_w4_100000_seed42_best.zip,f2f432e30f4c1061fac936c3b6c727117cbca618ea91228e7589b446939fc1bb,42,40000,False
4,sac,work/core_hstech10_candidates/models/agent_sac_rolling_w4_100000_seed42_best.zip,6d2b9dc66784b2680148b350e69ec7ed99ebd872ac149effe007acd31641327c,42,20000,False
