pair,classifier_group,selected_global_tau,stronger_component,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,wins_vs_stronger,n_backtests
a2c_ppo,1,0.27,a2c,0.5164370757906086,0.0017821785898989918,0.5157715993683414,0.5171025522128758,30,30
a2c_ppo,2,0.25,a2c,0.7314490658015561,1.1292025708167404e-16,0.7314490658015561,0.7314490658015561,30,30
a2c_ppo,3,0.25,a2c,-0.12599316229668514,0.33988984212787227,-0.25291011516897444,0.0009237905756041276,19,30
a2c_ppo,4,0.25,a2c,0.8221738184638828,0.0033127100232924356,0.8209368322118854,0.8234108047158802,30,30
a2c_ppo,5,0.25,a2c,0.745640584174225,0.026734167987556418,0.7356578817865495,0.7556232865619005,30,30
a2c_sac,1,0.53,sac,-0.03886873310046191,0.10222923215071213,-0.07704175574160627,-0.0006957104593175584,18,30
a2c_sac,2,0.53,sac,-0.14790739815825124,0.0013633734800899994,-0.1484164901824101,-0.14739830613409238,0,30
a2c_sac,3,0.4,sac,-0.6848069169920644,0.1936273168046577,-0.7571085453309283,-0.6125052886532005,0,30
a2c_sac,4,0.53,sac,-0.08754089574915973,0.03954362192768295,-0.10230672684659871,-0.07277506465172075,2,30
a2c_sac,5,0.53,sac,-0.17231729537055548,0.01141236034014404,-0.17657874075646002,-0.16805584998465095,0,30
ppo_sac,1,0.61,sac,0.4370464919709535,0.012568746960035916,0.4323532447247164,0.4417397392171906,30,30
ppo_sac,2,0.61,sac,0.6338347785360452,0.027728904621587214,0.6234806353847645,0.6441889216873259,30,30
ppo_sac,3,0.48,sac,-1.2338933590914811,0.31441268400146705,-1.3512969847722143,-1.116489733410748,0,30
ppo_sac,4,0.61,sac,0.35920487496253856,0.022711841495370432,0.35072413397109,0.36768561595398713,30,30
ppo_sac,5,0.61,sac,0.26549099432249906,0.007387630062980371,0.26273240792088354,0.2682495807241146,30,30
