repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
12,1,a2c_ppo,1,557939175,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,a2c_ppo,2,202514396,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,a2c_ppo,3,646459615,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,a2c_ppo,4,30714347,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,a2c_ppo,5,1989774716,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,a2c_sac,1,1442816871,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,a2c_sac,2,1625725608,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,a2c_sac,3,2058660886,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,a2c_sac,4,315261894,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,a2c_sac,5,1470605854,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,ppo_sac,1,1732835255,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,ppo_sac,2,163550814,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,ppo_sac,3,149967205,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,ppo_sac,4,1698575607,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,1,ppo_sac,5,805201060,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
12,2,a2c_ppo,1,266394510,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,a2c_ppo,2,1084112453,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,a2c_ppo,3,1296049200,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,a2c_ppo,4,1414964460,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,a2c_ppo,5,1470870671,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,a2c_sac,1,612815443,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,a2c_sac,2,1091661472,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,a2c_sac,3,1660003814,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,a2c_sac,4,246532496,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,a2c_sac,5,504683442,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,ppo_sac,1,1541451455,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,ppo_sac,2,743381783,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,ppo_sac,3,180922338,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,ppo_sac,4,1360090087,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,2,ppo_sac,5,2059344613,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
12,3,a2c_ppo,1,724213236,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,a2c_ppo,2,2059283939,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,a2c_ppo,3,571932016,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,a2c_ppo,4,584963382,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,a2c_ppo,5,1284011380,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,a2c_sac,1,1251731093,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,a2c_sac,2,550941922,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,a2c_sac,3,1714577169,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,a2c_sac,4,10928176,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,a2c_sac,5,54094869,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,ppo_sac,1,1193716986,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,ppo_sac,2,1414979621,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,ppo_sac,3,964096910,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,ppo_sac,4,822075855,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,3,ppo_sac,5,481637564,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
12,4,a2c_ppo,1,925449926,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
12,4,a2c_ppo,2,25839328,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
12,4,a2c_ppo,3,889104280,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
12,4,a2c_ppo,4,1859226028,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
12,4,a2c_ppo,5,11117602,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
12,4,a2c_sac,1,536821056,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
12,4,a2c_sac,2,1062112514,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
12,4,a2c_sac,3,709902778,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
