pair,classifier_group,selected_global_tau,ensemble_return_mean,ensemble_return_sd,ensemble_return_ci_low,ensemble_return_ci_high,ensemble_sharpe_mean,ensemble_sharpe_sd,ensemble_sharpe_ci_low,ensemble_sharpe_ci_high,ensemble_calmar_mean,ensemble_calmar_sd,ensemble_calmar_ci_low,ensemble_calmar_ci_high,ensemble_mdd_mean,ensemble_mdd_sd,ensemble_mdd_ci_low,ensemble_mdd_ci_high,stronger_component,component_sharpe_mean,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,win_rate_vs_stronger,wins_vs_stronger,n_backtests
a2c_ppo,1,0.27,0.3564255993770008,0.00035962468821109305,0.35629131331149305,0.35655988544250855,1.6767844790669892,0.0017821785898989911,1.6761190026447221,1.6774499554892564,4.20770584445153,0.0054236042166937596,4.2056806373536695,4.20973105154939,-0.10804515694308216,2.64785400066984e-05,-0.10805504419241305,-0.10803526969375127,a2c,1.1603474032763805,0.5164370757906086,0.0017821785898989918,0.5157715993683414,0.5171025522128758,1.0,30,30
a2c_ppo,2,0.25,0.3988660134900007,1.1292025708167404e-16,0.3988660134900007,0.3988660134900007,1.8917964690779372,4.516810283266961e-16,1.8917964690779372,1.8917964690779372,5.364484836681035,1.8067241133067846e-15,5.364484836681035,5.364484836681035,-0.09521298936461023,2.823006427041851e-17,-0.09521298936461023,-0.09521298936461023,a2c,1.1603474032763805,0.7314490658015561,1.1292025708167404e-16,0.7314490658015561,0.7314490658015561,1.0,30,30
a2c_ppo,3,0.25,0.2581010020890015,0.1062043316824494,0.2184436528884822,0.2977583512895208,1.0343542409796953,0.3398898421278722,0.9074372881074061,1.1612711938519846,1.3529594940148024,0.6643719059357674,1.1048789472487117,1.6010400407808931,-0.2523957836287471,0.06446755785146054,-0.2764683653522903,-0.22832320190520392,a2c,1.1603474032763805,-0.12599316229668514,0.33988984212787227,-0.25291011516897444,0.0009237905756041276,0.6333333333333333,19,30
a2c_ppo,4,0.25,0.4024832571380011,0.0007248122900072932,0.40221260778091467,0.4027539064950875,1.9825212217402628,0.0033127100232924356,1.9812842354882654,1.9837582079922602,5.453038489202211,0.010863652571468005,5.448981934664417,5.457095043740004,-0.09454774936231626,2.2697808829054605e-05,-0.094556224863424,-0.09453927386120853,a2c,1.1603474032763805,0.8221738184638828,0.0033127100232924356,0.8209368322118854,0.8234108047158802,1.0,30,30
a2c_ppo,5,0.25,0.38897272151233475,0.013113440873614301,0.38407608221611267,0.39386936080855683,1.9059879874506052,0.02673416798755642,1.8960052850629296,1.9159706898382807,5.224870222675896,0.18120054590233595,5.157208826852045,5.292531618499746,-0.09524819561372869,6.231375932779498e-05,-0.09527146395386615,-0.09522492727359122,a2c,1.1603474032763805,0.745640584174225,0.026734167987556418,0.7356578817865495,0.7556232865619005,1.0,30,30
a2c_sac,1,0.53,0.5609722789406675,0.021551311602632392,0.5529248869330585,0.5690196709482764,1.928639293609098,0.10222923215071213,1.8904662709679536,1.9668123162502422,3.372713000502272,0.13924473525591458,3.3207181618464565,3.4247078391580876,-0.21610031698126064,0.0008081391782314435,-0.21640208110976691,-0.21579855285275437,sac,1.9675080267095597,-0.03886873310046191,0.10222923215071213,-0.07704175574160627,-0.0006957104593175584,0.6,18,30
a2c_sac,2,0.53,0.5261662284420001,0.0002836777569740507,0.5260603014266843,0.526272155457316,1.8196006285513087,0.001363373480089999,1.8190915365271498,1.8201097205754675,2.813379702889873,0.00362622347478293,2.8120256487911326,2.814733756988613,-0.2422342557234628,0.00017625957092663982,-0.24230007212890917,-0.24216843931801643,sac,1.9675080267095597,-0.14790739815825124,0.0013633734800899994,-0.1484164901824101,-0.14739830613409238,0.0,0,30
a2c_sac,3,0.4,0.35514363285933476,0.04618606592169675,0.33789747241145907,0.37238979330721045,1.2827011097174956,0.19362731680465775,1.2103994813786316,1.3550027380563596,1.8086682136584658,0.4292108559229497,1.6483982460936397,1.9689381812232918,-0.2570401053471358,0.029409065845729748,-0.26802163101025434,-0.24605857968401726,sac,1.9675080267095597,-0.6848069169920644,0.1936273168046577,-0.7571085453309283,-0.6125052886532005,0.0,0,30
a2c_sac,4,0.53,0.5436909683353337,0.011275380232531045,0.5394806721622256,0.5479012645084418,1.8799671309603994,0.03954362192768295,1.8652012998629603,1.8947329620578384,3.086501826598727,0.1310591586445263,3.0375635324825074,3.1354401207149465,-0.22867563830986656,0.004238663875176227,-0.23025838141251223,-0.2270928952072209,sac,1.9675080267095597,-0.08754089574915973,0.03954362192768295,-0.10230672684659871,-0.07277506465172075,0.06666666666666667,2,30
a2c_sac,5,0.53,0.5188232187166671,0.0032611968239761825,0.5176054678094184,0.5200409696239159,1.795190731339004,0.01141236034014404,1.7909292859530996,1.7994521767249085,2.778534279461362,0.03233828052828191,2.7664589670598967,2.7906095918628275,-0.2417095347846467,0.0013884905660211625,-0.24222800568282973,-0.2411910638864637,sac,1.9675080267095597,-0.17231729537055548,0.01141236034014404,-0.17657874075646002,-0.16805584998465095,0.0,0,30
