repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
0,1,a2c_ppo,1,293963830,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,a2c_ppo,2,879788809,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,a2c_ppo,3,1810353286,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,a2c_ppo,4,643588362,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,a2c_ppo,5,819177394,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,a2c_sac,1,1299002452,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,a2c_sac,2,654194038,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,a2c_sac,3,1320307563,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,a2c_sac,4,1845121768,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,a2c_sac,5,539023291,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,ppo_sac,1,209240512,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,ppo_sac,2,1972573011,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,ppo_sac,3,539971416,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,ppo_sac,4,1990688965,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,ppo_sac,5,572096147,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,2,a2c_ppo,1,1907078753,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,a2c_ppo,2,311557415,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,a2c_ppo,3,2116740826,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,a2c_ppo,4,1692537943,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,a2c_ppo,5,177721516,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,a2c_sac,1,1877744122,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,a2c_sac,2,404857171,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,a2c_sac,3,2033189222,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,a2c_sac,4,622263860,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,a2c_sac,5,1140838505,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,ppo_sac,1,862158702,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,ppo_sac,2,363457740,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,ppo_sac,3,219208729,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,ppo_sac,4,1980942536,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,ppo_sac,5,1289254687,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,3,a2c_ppo,1,807032213,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,a2c_ppo,2,1409453121,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,a2c_ppo,3,1441144309,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,a2c_ppo,4,151187264,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,a2c_ppo,5,1210730641,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,a2c_sac,1,191368757,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,a2c_sac,2,754676743,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,a2c_sac,3,32401759,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,a2c_sac,4,394106530,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,a2c_sac,5,1783169835,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,ppo_sac,1,1975223117,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,ppo_sac,2,1420488301,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,ppo_sac,3,1461464725,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,ppo_sac,4,1353358620,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,ppo_sac,5,215834329,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,4,a2c_ppo,1,1031194101,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,a2c_ppo,2,577736275,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,a2c_ppo,3,144875481,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,a2c_ppo,4,74400172,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,a2c_ppo,5,617391943,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,a2c_sac,1,1850210503,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,a2c_sac,2,674714438,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,a2c_sac,3,1389103146,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,a2c_sac,4,1671949053,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,a2c_sac,5,1721810896,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,ppo_sac,1,2081885583,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,ppo_sac,2,1718519143,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,ppo_sac,3,1367571494,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,ppo_sac,4,638498607,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,ppo_sac,5,1934947292,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
1,1,a2c_ppo,1,1237222008,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,a2c_ppo,2,210993331,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,a2c_ppo,3,31812464,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,a2c_ppo,4,1092879708,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,a2c_ppo,5,973599295,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,a2c_sac,1,1036356907,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,a2c_sac,2,123997438,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,a2c_sac,3,211185950,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,a2c_sac,4,448813761,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,a2c_sac,5,347959782,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,ppo_sac,1,1237278271,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,ppo_sac,2,945549811,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,ppo_sac,3,905338185,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,ppo_sac,4,1324231479,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,ppo_sac,5,66988013,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,2,a2c_ppo,1,1754070145,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,a2c_ppo,2,1285203772,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,a2c_ppo,3,318885825,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,a2c_ppo,4,917992421,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,a2c_ppo,5,760054174,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,a2c_sac,1,944274744,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,a2c_sac,2,243953870,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,a2c_sac,3,1844571523,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,a2c_sac,4,1113629294,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,a2c_sac,5,1734657007,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,ppo_sac,1,1674309128,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,ppo_sac,2,1904156719,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,ppo_sac,3,1350021092,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,ppo_sac,4,880383213,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,ppo_sac,5,740330788,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,3,a2c_ppo,1,1588250032,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
1,3,a2c_ppo,2,1228352444,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
1,3,a2c_ppo,3,780603169,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
