date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2019-10-28,a2c_ppo,ensemble,equity,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0
2019-10-29,a2c_ppo,ensemble,equity,1001032.1574000006,4.736218859586937e-10,1001032.1574000004,1001032.1574000008,1001032.1574000001,1001032.1574000001
2019-10-30,a2c_ppo,ensemble,equity,999591.6636300005,4.736218859586937e-10,999591.6636300003,999591.6636300008,999591.6636300001,999591.6636300001
2019-10-31,a2c_ppo,ensemble,equity,998362.3472933335,110.39082024098073,998321.1266836138,998403.5679030532,998285.6011900001,998515.8395
2019-11-01,a2c_ppo,ensemble,equity,1000765.1874699994,191.1997791772646,1000693.7922991079,1000836.582640891,1000482.3163199998,1000895.0624
2019-11-04,a2c_ppo,ensemble,equity,1008415.205425333,784.304520211057,1008122.3413043991,1008708.0695462669,1007257.3323099997,1008949.2862800001
2019-11-05,a2c_ppo,ensemble,equity,1009295.6401560005,1060.9771876310522,1008899.4647631787,1009691.8155488223,1007168.8257799997,1010012.5186000002
2019-11-06,a2c_ppo,ensemble,equity,1004963.3780026668,904.1025457904424,1004625.78056381,1005300.9754415235,1003366.4169799997,1005576.7078000002
2019-11-07,a2c_ppo,ensemble,equity,1010512.9519560002,896.9393291616614,1010178.0293061915,1010847.8746058089,1008754.3430999997,1011119.1541000002
2019-11-08,a2c_ppo,ensemble,equity,1012177.6865396667,789.2363713286552,1011882.9808352599,1012472.3922440736,1010984.9477599999,1012713.9411700001
2019-11-11,a2c_ppo,ensemble,equity,1006063.0821403333,787.991510193183,1005768.8412747139,1006357.3230059526,1004832.2833199997,1006592.4698500001
2019-11-12,a2c_ppo,ensemble,equity,1008047.9373070003,791.7083398617351,1007752.3085543733,1008343.5660596272,1006808.6325299996,1008578.85065
2019-11-13,a2c_ppo,ensemble,equity,1022225.0533623334,761.4789809229346,1021940.7124378445,1022509.3942868224,1021010.0767299996,1022817.9445099997
2019-11-14,a2c_ppo,ensemble,equity,1026096.7417523334,802.0633688150054,1025797.246368349,1026396.2371363178,1024826.9732499996,1027124.2381399998
2019-11-15,a2c_ppo,ensemble,equity,1021198.3060940002,790.9600844312067,1020902.9567445429,1021493.6554434575,1019948.9645199998,1022276.9215599999
2019-11-18,a2c_ppo,ensemble,equity,1024619.5624499995,773.6004913789013,1024330.6952791195,1024908.4296208795,1023385.0975999999,1025208.9929199999
2019-11-19,a2c_ppo,ensemble,equity,1029594.3548643333,803.2227555330682,1029294.4265582334,1029894.2831704331,1028315.5423399998,1030395.3578899999
2019-11-20,a2c_ppo,ensemble,equity,1029186.5986826667,802.6124179687883,1028886.8982803589,1029486.2990849745,1027911.9078999998,1030102.8584199998
2019-11-21,a2c_ppo,ensemble,equity,1024916.7824860006,788.597883949786,1024622.3151966992,1025211.2497753019,1023669.3270699998,1025954.4465899998
2019-11-22,a2c_ppo,ensemble,equity,995660.481572667,757.7207251986956,995377.544003929,995943.419141405,994462.1505499997,996666.4100699998
2019-11-25,a2c_ppo,ensemble,equity,988087.3577166664,750.0824655187607,987807.272320967,988367.4431123658,986901.0890099998,989085.5310499999
2019-11-26,a2c_ppo,ensemble,equity,991140.8268319998,756.6749125610093,990858.2797761186,991423.373887881,989944.1495299997,992147.4391999997
2019-11-27,a2c_ppo,ensemble,equity,994410.4403580005,763.1248183882301,994125.4848677019,994695.395848299,993203.5423799999,995425.5601899999
2019-11-28,a2c_ppo,ensemble,equity,984361.8320370001,752.8376635496127,984080.7178334481,984642.9462405521,983163.1884099998,985124.5075199999
2019-11-29,a2c_ppo,ensemble,equity,947660.3398933337,713.4187855233407,947393.9449407408,947926.7348459266,946414.4974299999,948130.6995900001
2019-12-02,a2c_ppo,ensemble,equity,949444.9232703331,703.7019967087109,949182.1566263131,949707.6899143531,948296.5488199997,950271.1350499996
2019-12-03,a2c_ppo,ensemble,equity,939682.0394053336,780.0193421984454,939390.7753961667,939973.3034145004,937678.6231299998,940231.1816800003
2019-12-04,a2c_ppo,ensemble,equity,942612.0447240002,744.4615056189881,942334.0582292218,942890.0312187785,940775.4836699996,943186.90511
2019-12-05,a2c_ppo,ensemble,equity,949516.3839116668,838.3623821248815,949203.3342533542,949829.4335699794,947468.5982599998,950129.4301600001
2019-12-06,a2c_ppo,ensemble,equity,980206.8330933334,562.1356761416195,979996.9281821714,980416.7380044954,979456.5654399997,981195.1780300003
