pair,classifier_group,selected_global_tau,stronger_component,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,wins_vs_stronger,n_backtests
a2c_ppo,1,0.4,ppo,0.3833913916332018,0.005876033977416871,0.3811972444862352,0.3855855387801684,30,30
a2c_ppo,2,0.23,ppo,0.6160840926643516,0.0,0.6160840926643516,0.6160840926643516,30,30
a2c_ppo,3,0.29,ppo,-0.19649253922491114,0.5615973870648413,-0.4061964499422368,0.013211371492414553,12,30
a2c_ppo,4,0.4,ppo,0.35697531399847426,0.001496027992685972,0.3564166879652434,0.35753394003170513,30,30
a2c_ppo,5,0.4,ppo,0.3775765981058979,0.03359524807921929,0.36503192630720666,0.3901212699045891,30,30
a2c_sac,1,0.01,sac,0.3967479688681486,0.006977087628136816,0.3941426815311033,0.3993532562051939,30,30
a2c_sac,2,0.01,sac,0.17007453153111207,0.006843596560879443,0.16751909057778305,0.1726299724844411,30,30
a2c_sac,3,0.35,sac,-0.32571051591697425,0.42314371865570277,-0.4837149771936565,-0.16770605464029195,7,30
a2c_sac,4,0.01,sac,0.40171660718220464,0.0009907092199687127,0.4013466702797255,0.4020865440846838,30,30
a2c_sac,5,0.01,sac,0.29209853277879877,0.13034468672676944,0.243427026861211,0.34077003869638656,30,30
ppo_sac,1,0.01,ppo,0.053624357360018374,0.002463544300013902,0.052704454800217744,0.054544259919819,30,30
ppo_sac,2,0.23,ppo,0.06818282551111432,0.0,0.06818282551111432,0.06818282551111432,30,30
ppo_sac,3,0.01,ppo,0.05422770953654563,0.060186313039214505,0.03175377089885889,0.07670164817423238,23,30
ppo_sac,4,0.23,ppo,0.04096979925255765,0.02399735074125234,0.032009041219837484,0.049930557285277816,30,30
ppo_sac,5,0.23,ppo,0.03368872052541301,0.026216634950179552,0.023899268149869084,0.043478172900956936,29,30
