repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
11,1,a2c_ppo,1,1439629578,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,a2c_ppo,2,275446297,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,a2c_ppo,3,425110389,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,a2c_ppo,4,1112910806,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,a2c_ppo,5,1281707009,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,a2c_sac,1,1149506584,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,a2c_sac,2,1742462608,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,a2c_sac,3,487775995,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,a2c_sac,4,63504136,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,a2c_sac,5,206246267,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,ppo_sac,1,1953461609,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,ppo_sac,2,1841974106,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,ppo_sac,3,1369638602,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,ppo_sac,4,1614776076,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,1,ppo_sac,5,1958759287,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
11,2,a2c_ppo,1,808331161,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,a2c_ppo,2,1017752258,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,a2c_ppo,3,1758176660,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,a2c_ppo,4,1130856764,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,a2c_ppo,5,252328049,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,a2c_sac,1,805622403,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,a2c_sac,2,226776219,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,a2c_sac,3,2046140658,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,a2c_sac,4,169864506,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,a2c_sac,5,579911505,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,ppo_sac,1,1798539709,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,ppo_sac,2,2117333486,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,ppo_sac,3,705798380,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,ppo_sac,4,2049908409,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
11,2,ppo_sac,5,391879592,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
