repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,component_cumulative_return,component_sharpe,component_calmar,component_max_drawdown,stronger_component,delta_sharpe,beats_stronger_component
0,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
1,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
2,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
3,a2c_ppo,1,0.4,1,0.579483219220001,0.7444979142484451,2.1972782933612156,4.030041266791163,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3559487436496478,True
4,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
5,a2c_ppo,1,0.4,1,0.5905893743700008,0.7594423858987789,2.2280260915398125,4.11586125101574,-0.18451603190252308,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38669654182824464,True
6,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
7,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
8,a2c_ppo,1,0.4,1,0.5888353998000004,0.7570807203841676,2.221394982905541,4.102797485594873,-0.18452792833239173,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38006543319397323,True
9,a2c_ppo,1,0.4,1,0.5905893743700008,0.7594423858987789,2.2280260915398125,4.11586125101574,-0.18451603190252308,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38669654182824464,True
10,a2c_ppo,1,0.4,1,0.5888353998000004,0.7570807203841676,2.221394982905541,4.102797485594873,-0.18452792833239173,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38006543319397323,True
11,a2c_ppo,1,0.4,1,0.5905893743700008,0.7594423858987789,2.2280260915398125,4.11586125101574,-0.18451603190252308,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38669654182824464,True
12,a2c_ppo,1,0.4,1,0.5888353998000004,0.7570807203841676,2.221394982905541,4.102797485594873,-0.18452792833239173,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38006543319397323,True
13,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
14,a2c_ppo,1,0.4,1,0.5888353998000004,0.7570807203841676,2.221394982905541,4.102797485594873,-0.18452792833239173,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38006543319397323,True
15,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
16,a2c_ppo,1,0.4,1,0.5888353998000004,0.7570807203841676,2.221394982905541,4.102797485594873,-0.18452792833239173,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38006543319397323,True
17,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
18,a2c_ppo,1,0.4,1,0.5895333745600009,0.7580204511685551,2.2250161171510263,4.1036038402795905,-0.1847206700920011,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3836865674394585,True
19,a2c_ppo,1,0.4,1,0.5905983241000003,0.7594544378500667,2.2255657263613133,4.113753435039983,-0.18461350439265822,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3842361766497455,True
20,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
21,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
22,a2c_ppo,1,0.4,1,0.5888353998000004,0.7570807203841676,2.221394982905541,4.102797485594873,-0.18452792833239173,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38006543319397323,True
23,a2c_ppo,1,0.4,1,0.5888353998000004,0.7570807203841676,2.221394982905541,4.102797485594873,-0.18452792833239173,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.38006543319397323,True
24,a2c_ppo,1,0.4,1,0.5890206345600004,0.7573301057652275,2.2205751665043447,4.108044045162503,-0.184352966384826,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3792456167927769,True
25,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
26,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
27,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
28,a2c_ppo,1,0.4,1,0.5902233257600009,0.7589494674578852,2.227470383608667,4.108268961843962,-0.18473704484947773,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3861408338970991,True
29,a2c_ppo,1,0.4,1,0.590749052650001,0.7596574152543087,2.2272940278769635,4.123533722432972,-0.1842248581893723,0.4919368881699995,1.8413295497115678,3.2957368267290503,-0.19039895337242352,ppo,0.3859644781653957,True
