repeat,model,cumulative_return,annualized_return,sharpe,calmar,max_drawdown
0,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
0,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
0,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
1,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
1,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
1,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
2,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
2,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
2,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
3,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
3,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
3,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
4,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
4,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
4,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
5,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
5,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
5,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
6,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
6,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
6,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
7,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
7,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
7,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
8,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
8,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
8,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
9,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
9,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
9,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
10,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
10,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
10,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
11,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
11,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
11,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
12,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
12,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
12,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
13,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
13,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
13,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
14,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
14,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
14,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
15,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
15,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
15,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
16,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
16,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
16,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
17,a2c,0.030783797711071426,0.030783797711071426,0.2611299216985484,0.09707516426235471,-0.317113011808822
17,ppo,0.13246629679556787,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456
17,sac,0.03044161039736526,0.03044161039736526,0.2810289911393602,0.0788833953074837,-0.38590644176388855
