date,pair,strategy,metric,mean,sd,ci_low,ci_high,range_low,range_high
2020-01-02,a2c_ppo,ensemble,equity,1000000.0,0.0,1000000.0,1000000.0,1000000.0,1000000.0
2020-01-03,a2c_ppo,ensemble,equity,998373.9386084144,5.920273574483671e-10,998373.9386084141,998373.9386084146,998373.9386084138,998373.9386084138
2020-01-06,a2c_ppo,ensemble,equity,998311.4480150079,7.104328289380406e-10,998311.4480150077,998311.4480150081,998311.4480150072,998311.4480150072
2020-01-07,a2c_ppo,ensemble,equity,998149.7255875699,4.736218859586937e-10,998149.7255875696,998149.7255875701,998149.7255875703,998149.7255875703
2020-01-08,a2c_ppo,ensemble,equity,998577.1740755773,3.552164144690203e-10,998577.1740755772,998577.1740755774,998577.174075577,998577.174075577
2020-01-09,a2c_ppo,ensemble,equity,999018.7135524901,3.552164144690203e-10,999018.71355249,999018.7135524902,999018.7135524905,999018.7135524905
2020-01-10,a2c_ppo,ensemble,equity,998803.7318304294,1.1840547148967343e-10,998803.7318304294,998803.7318304294,998803.7318304295,998803.7318304295
2020-01-13,a2c_ppo,ensemble,equity,998463.5537735523,1.1840547148967343e-10,998463.5537735523,998463.5537735523,998463.5537735524,998463.5537735524
2020-01-14,a2c_ppo,ensemble,equity,999415.0753380096,3.552164144690203e-10,999415.0753380095,999415.0753380097,999415.0753380093,999415.0753380093
2020-01-15,a2c_ppo,ensemble,equity,1002747.5197252083,3.552164144690203e-10,1002747.5197252082,1002747.5197252084,1002747.5197252086,1002747.5197252086
2020-01-16,a2c_ppo,ensemble,equity,1009015.5130341536,1.1840547148967343e-10,1009015.5130341536,1009015.5130341536,1009015.5130341535,1009015.5130341535
2020-01-17,a2c_ppo,ensemble,equity,1011627.9031197095,1.1840547148967343e-10,1011627.9031197095,1011627.9031197095,1011627.9031197096,1011627.9031197096
2020-01-21,a2c_ppo,ensemble,equity,1008932.9173777208,3.552164144690203e-10,1008932.9173777207,1008932.9173777209,1008932.9173777205,1008932.9173777205
2020-01-22,a2c_ppo,ensemble,equity,1008895.0359204904,4.736218859586937e-10,1008895.0359204902,1008895.0359204906,1008895.0359204909,1008895.0359204909
2020-01-23,a2c_ppo,ensemble,equity,1008776.9972150001,5.920273574483671e-10,1008776.9972149999,1008776.9972150003,1008776.9972150007,1008776.9972150007
2020-01-24,a2c_ppo,ensemble,equity,998293.808245778,2.3681094297934687e-10,998293.8082457779,998293.8082457781,998293.8082457777,998293.8082457777
2020-01-27,a2c_ppo,ensemble,equity,984365.5423437544,0.0,984365.5423437544,984365.5423437544,984365.5423437544,984365.5423437544
2020-01-28,a2c_ppo,ensemble,equity,993592.1754310464,3.552164144690203e-10,993592.1754310463,993592.1754310465,993592.175431046,993592.175431046
