window,model,checkpoint,sha256,training_seed,selected_validation_step,retrained_in_backtests
1,a2c,work/core_dj30_candidates/models/agent_a2c_rolling_w1_100000_seed42_best.zip,365b243e7ac376e999742ef229a8d7ebd6b3a7040fcc57ca0f6d654a19c967b6,42,100000,False
1,ppo,work/core_dj30_candidates/models/agent_ppo_rolling_w1_100000_seed42_best.zip,beca5e37dc3616e7623df2a75bb4173cbdf889a846ae553b2f9c65f11c822154,42,20000,False
1,sac,work/core_dj30_candidates/models/agent_sac_rolling_w1_100000_seed42_best.zip,f35ea23df4ad6529e50435c5860adeb1cf2deb2ebf7be7c135d36548577036e5,42,40000,False
2,a2c,work/core_dj30_candidates/models/agent_a2c_rolling_w2_100000_seed42_best.zip,14c75a8418569a975f79fbf7885b61ccb45f77dc541c7504c3c7ce826ef01d9d,42,80000,False
2,ppo,work/core_dj30_candidates/models/agent_ppo_rolling_w2_100000_seed42_best.zip,b8a085506e983116cabcddc50ab6ed21cafd2914a6d71118fde4be1bacd5116f,42,80000,False
2,sac,work/core_dj30_candidates/models/agent_sac_rolling_w2_100000_seed42_best.zip,90bf9b91e05ebf1a437e4206dc66b8b25e0e44dc34e2a90001584294a8983212,42,60000,False
3,a2c,work/core_dj30_candidates/models/agent_a2c_rolling_w3_100000_seed42_best.zip,5910dc7d728c75be3bff2bdfcb0f649673c1c6ecc4eb3d0f185a0457e10c2695,42,100000,False
3,ppo,work/core_dj30_candidates/models/agent_ppo_rolling_w3_100000_seed42_best.zip,90dc595e0deede31dd5748141913b5e9253b323a7b4e14d6bd02ee1ce7852d86,42,40000,False
3,sac,work/core_dj30_candidates/models/agent_sac_rolling_w3_100000_seed42_best.zip,e4578ba32baa8b446e3e4ff522dba27afaa3a83dab91a57d9b8b74f13043972b,42,80000,False
4,a2c,work/core_dj30_candidates/models/agent_a2c_rolling_w4_100000_seed42_best.zip,e25b43e3ea5f092c9b8bbb4c3d6862b24c3d8119dd16d356a0db0ed9f286a18b,42,80000,False
4,ppo,work/core_dj30_candidates/models/agent_ppo_rolling_w4_100000_seed42_best.zip,8e0e44a8e857aadf1d69110036183b875e20c109e75112ab18208117e9f4ad99,42,80000,False
4,sac,work/core_dj30_candidates/models/agent_sac_rolling_w4_100000_seed42_best.zip,e7af22a1eec662d16c683dd20fa2e799294629a92d311a1916a3299e4c975a78,42,100000,False
