pair,classifier_group,selected_global_tau,stronger_component,delta_sharpe_mean,delta_sharpe_sd,delta_sharpe_ci_low,delta_sharpe_ci_high,wins_vs_stronger,n_backtests
a2c_ppo,1,0.33,ppo,-0.03597195101443343,0.04927788698787148,-0.05437261642217676,-0.0175712856066901,8,30
a2c_ppo,2,0.33,ppo,0.07397001794778033,2.823006427041851e-17,0.07397001794778033,0.07397001794778033,30,30
a2c_ppo,3,0.28,ppo,-0.30121149573548006,0.06533002541852809,-0.3256061281413211,-0.276816863329639,0,30
a2c_ppo,4,0.33,ppo,0.10143482141647997,0.019478388790574456,0.09416147150791929,0.10870817132504065,30,30
a2c_ppo,5,0.33,ppo,-0.016054709114545613,0.03485391159418343,-0.029069373593837995,-0.0030400446352532307,7,30
a2c_sac,1,0.37,sac,0.3474615000211047,0.09221691366706215,0.3130271385449318,0.3818958614972776,30,30
a2c_sac,2,0.39,sac,0.3900055932787433,0.009995496319198787,0.3862732136132115,0.3937379729442751,30,30
a2c_sac,3,0.28,sac,0.051112856950556694,0.15427747176175008,-0.00649529776880526,0.10872101166991865,8,30
a2c_sac,4,0.37,sac,0.3732601345204234,0.05183237612555429,0.3539056071923874,0.3926146618484594,30,30
a2c_sac,5,0.37,sac,0.37959077987400097,0.009596329376303066,0.37600745159453736,0.3831741081534646,30,30
ppo_sac,1,0.01,ppo,0.1251444238932566,0.18331759884330376,0.05669250750940742,0.19359634027710582,16,30
ppo_sac,2,0.16,ppo,0.10553969353920838,4.2345096405627763e-17,0.10553969353920838,0.10553969353920838,30,30
ppo_sac,3,0.01,ppo,0.02379138767602418,0.08563967637195193,-0.008186993031240316,0.055769768383288676,5,30
ppo_sac,4,0.16,ppo,0.23210133550689244,0.12178928029955084,0.1866244708516878,0.2775782001620971,30,30
ppo_sac,5,0.16,ppo,0.07262497516954748,0.07911076659182471,0.04308452944052246,0.1021654208985725,29,30
