repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
16,1,a2c_ppo,1,1741449550,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,a2c_ppo,2,1152736337,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,a2c_ppo,3,771628642,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,a2c_ppo,4,1691843980,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,a2c_ppo,5,933058273,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,a2c_sac,1,938657190,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,a2c_sac,2,1108561363,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,a2c_sac,3,1654567779,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,a2c_sac,4,118318570,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,a2c_sac,5,843141277,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,ppo_sac,1,779761442,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,ppo_sac,2,151932262,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,ppo_sac,3,866926446,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,ppo_sac,4,1220349804,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,1,ppo_sac,5,701432646,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
16,2,a2c_ppo,1,993279489,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,a2c_ppo,2,1771729958,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,a2c_ppo,3,1630900306,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,a2c_ppo,4,1746949785,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,a2c_ppo,5,743565356,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,a2c_sac,1,234237344,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,a2c_sac,2,1413153463,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,a2c_sac,3,1978751805,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,a2c_sac,4,1094449901,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,a2c_sac,5,290399230,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,ppo_sac,1,1786115242,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,ppo_sac,2,1293278397,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,ppo_sac,3,1029729181,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,ppo_sac,4,2114628031,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,2,ppo_sac,5,661237363,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
16,3,a2c_ppo,1,12725680,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,a2c_ppo,2,1162439094,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,a2c_ppo,3,1711042874,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,a2c_ppo,4,280749690,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,a2c_ppo,5,112965892,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,a2c_sac,1,1605212153,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,a2c_sac,2,129713232,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,a2c_sac,3,80862290,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,a2c_sac,4,1171733072,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,a2c_sac,5,2113102554,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
16,3,ppo_sac,1,296588475,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
