repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,component_cumulative_return,component_sharpe,component_calmar,component_max_drawdown,stronger_component,delta_sharpe,beats_stronger_component
0,a2c_ppo,1,0.33,1,0.10348217697646889,0.10348217697646889,0.4929281576372628,0.45013504178350383,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.09479190180119229,False
1,a2c_ppo,1,0.33,1,0.11065676601751884,0.11065676601751884,0.5169764328515176,0.4827255567728132,-0.22923328683340793,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.07074362658693745,False
2,a2c_ppo,1,0.33,1,0.11355535595112753,0.11355535595112753,0.5265237537405854,0.49537027331310873,-0.22923328683340793,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.06119630569786971,False
3,a2c_ppo,1,0.33,1,0.10592727691094006,0.10592727691094006,0.5011112391927716,0.46077093284538495,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.0866088202456835,False
4,a2c_ppo,1,0.33,1,0.1427461574897324,0.1427461574897324,0.6209699786043409,0.6209286414672786,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.03324991916588582,True
5,a2c_ppo,1,0.33,1,0.12937833156820888,0.12937833156820888,0.5773941219610489,0.5609136509740708,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.010325937477406177,False
6,a2c_ppo,1,0.33,1,0.14047249181666355,0.14047249181666355,0.6140416505657957,0.6127927307466038,-0.22923328683340793,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.02632159112734067,True
7,a2c_ppo,1,0.33,1,0.1320327457129804,0.1320327457129804,0.5863892405336248,0.5724217382333043,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.0013308189048302221,False
8,a2c_ppo,1,0.33,1,0.14007348215199444,0.14007348215199444,0.6129395143614511,0.6093028247326733,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.025219454922996043,True
9,a2c_ppo,1,0.33,1,0.10301079789230916,0.10301079789230916,0.4908580308989169,0.4465984530420788,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.09686202853953818,False
10,a2c_ppo,1,0.33,1,0.10541443453299104,0.10541443453299104,0.49944145810636326,0.4585401300929561,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.08827860133209181,False
11,a2c_ppo,1,0.33,1,0.11780149544528351,0.11780149544528351,0.5406910726656646,0.5138934971991833,-0.22923328683340793,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.04702898677279044,False
12,a2c_ppo,1,0.33,1,0.10594512354123853,0.10594512354123853,0.5011907922664626,0.460848563543828,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.0865292671719925,False
13,a2c_ppo,1,0.33,1,0.13216649012600112,0.13216649012600112,0.5871456330307515,0.5749083590382409,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.0005744264077035544,False
14,a2c_ppo,1,0.33,1,0.1321039862989557,0.1321039862989557,0.5874096341228775,0.5746364748972151,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.00031042531557756714,False
15,a2c_ppo,1,0.33,1,0.14871306677796325,0.14871306677796325,0.6407250196028852,0.6468839802536565,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.053004960164430126,True
16,a2c_ppo,1,0.33,1,0.12937833156820888,0.12937833156820888,0.5773941219610489,0.5609136509740708,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.010325937477406177,False
17,a2c_ppo,1,0.33,1,0.13369568080651684,0.13369568080651684,0.5915929288043181,0.5796313148551567,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.003872869365863063,True
18,a2c_ppo,1,0.33,1,0.1349676272252296,0.1349676272252296,0.5959237034740871,0.5851457785285998,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.008203644035632007,True
19,a2c_ppo,1,0.33,1,0.1338638094482021,0.1338638094482021,0.592201797798691,0.5803602286469632,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.0044817383602359095,True
20,a2c_ppo,1,0.33,1,0.09801502692338349,0.09801502692338349,0.4747746140798659,0.4263535956496262,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.11294544535858919,False
21,a2c_ppo,1,0.33,1,0.11184075850973318,0.11184075850973318,0.5208439682099976,0.4878905679654276,-0.22923328683340793,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.0668760912284575,False
22,a2c_ppo,1,0.33,1,0.1395722053295998,0.1395722053295998,0.6104067486141259,0.6051087096037769,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.02268668917567085,True
23,a2c_ppo,1,0.33,1,0.12938702691196657,0.12938702691196657,0.5778985695726935,0.5609513492265871,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.00982148986576159,False
24,a2c_ppo,1,0.33,1,0.13177479159997763,0.13177479159997763,0.5851072497158641,0.5713033903495872,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.0026128097225909253,False
25,a2c_ppo,1,0.33,1,0.10623799275531542,0.10623799275531542,0.5019932357156349,0.46212250945188116,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.08572682372282014,False
26,a2c_ppo,1,0.33,1,0.1089132274590241,0.1089132274590241,0.5110921274759556,0.4737594591210828,-0.2298914045137581,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.07662793196249951,False
27,a2c_ppo,1,0.33,1,0.10584896374079733,0.10584896374079733,0.5003565794713665,0.45890318714128253,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.0873634799670886,False
28,a2c_ppo,1,0.33,1,0.1110466719525014,0.1110466719525014,0.517455319298261,0.4814376058061869,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.07026474014019402,False
29,a2c_ppo,1,0.33,1,0.10533504427155505,0.10533504427155505,0.49866655838641866,0.45667511353494317,-0.23065641448293017,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,-0.08905350105203641,False
0,a2c_ppo,2,0.33,1,0.16275745454184465,0.16275745454184465,0.6616900773862354,0.6987997810998735,-0.23290999645946242,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.07397001794778035,True
1,a2c_ppo,2,0.33,1,0.16275745454184465,0.16275745454184465,0.6616900773862354,0.6987997810998735,-0.23290999645946242,0.13246629679556787,0.5877200594384551,0.6488797107757548,-0.2041461531247456,ppo,0.07397001794778035,True
