window,pair,segment,mean_holding_l1,mean_dispersion,identical_holding_rate
1,arima_xgboost,calibration,4068.3064516129034,0.24499148739915008,0.0
1,arima_xgboost,trade,3916.532258064516,0.25170868513638983,0.0
1,arima_lstm,calibration,5103.322580645161,0.255485524396424,0.0
1,arima_lstm,trade,4787.532258064516,0.2580953949945148,0.0
1,xgboost_lstm,calibration,4373.209677419355,0.2329970392921081,0.0
1,xgboost_lstm,trade,4377.709677419355,0.2664787108593349,0.0
2,arima_xgboost,calibration,3989.4193548387098,0.26488970823615565,0.0
2,arima_xgboost,trade,4916.790322580645,0.17704613595427174,0.0
2,arima_lstm,calibration,4932.403225806452,0.2508795897385374,0.0
2,arima_lstm,trade,6614.951612903225,0.18123966260578447,0.0
2,xgboost_lstm,calibration,4400.693548387097,0.24956416980616403,0.0
2,xgboost_lstm,trade,5728.741935483871,0.17336774520501333,0.0
3,arima_xgboost,calibration,3614.0806451612902,0.28631097957446394,0.0
3,arima_xgboost,trade,3126.2419354838707,0.2744885985172475,0.0
3,arima_lstm,calibration,5546.274193548387,0.1802667664075878,0.0
3,arima_lstm,trade,5228.9838709677415,0.21696190434701043,0.0
3,xgboost_lstm,calibration,5798.677419354839,0.19620575464168172,0.0
3,xgboost_lstm,trade,5246.0,0.2074057110723988,0.0
4,arima_xgboost,calibration,2992.5806451612902,0.2999717244096995,0.0
4,arima_xgboost,trade,3148.0793650793653,0.29601062589656246,0.0
4,arima_lstm,calibration,4013.8870967741937,0.2737667163763313,0.0
4,arima_lstm,trade,4590.333333333333,0.2328927723394868,0.0
4,xgboost_lstm,calibration,4211.467741935484,0.2729230590956441,0.0
4,xgboost_lstm,trade,4690.793650793651,0.22989234133376202,0.0
