repeat,window,pair,classifier_group,classifier,in_sample_balanced_accuracy,in_sample_brier
0,1,arima_xgboost,1,svm_rbf,1.0,0.001173499708672
0,1,arima_xgboost,1,svm_linear,1.0,0.0042281185992777
0,1,arima_xgboost,1,svm_poly,0.9919354838709676,0.0007673704585428
0,1,arima_xgboost,1,svm_sigmoid,0.967741935483871,0.0287826059331377
0,1,arima_xgboost,2,logistic_l1,1.0,0.0083607071932537
0,1,arima_xgboost,2,logistic_l2,1.0,0.0065900156504362
0,1,arima_xgboost,2,logistic_elasticnet,1.0,0.0075356102545176
0,1,arima_xgboost,3,decision_tree_gini,1.0,0.0
0,1,arima_xgboost,3,decision_tree_entropy,1.0,0.0
0,1,arima_xgboost,4,svm_rbf,1.0,0.0014022316610897
0,1,arima_xgboost,4,svm_linear,1.0,0.0037018751972866
0,1,arima_xgboost,4,svm_poly,0.9919354838709676,0.0012144500341545
0,1,arima_xgboost,4,svm_sigmoid,0.967741935483871,0.0296139859449553
0,1,arima_xgboost,4,logistic_l1,1.0,0.0083607806586001
0,1,arima_xgboost,4,logistic_l2,1.0,0.0065930797387319
0,1,arima_xgboost,4,logistic_elasticnet,1.0,0.0075326564971068
0,1,arima_xgboost,5,svm_rbf,1.0,0.0013311052546575
0,1,arima_xgboost,5,svm_linear,1.0,0.0041830610516814
0,1,arima_xgboost,5,svm_poly,0.9919354838709676,0.0008819978734548
0,1,arima_xgboost,5,svm_sigmoid,0.967741935483871,0.0287565628381167
0,1,arima_xgboost,5,logistic_l1,1.0,0.0083616915593222
0,1,arima_xgboost,5,logistic_l2,1.0,0.0065942710101748
0,1,arima_xgboost,5,logistic_elasticnet,1.0,0.0075340716964546
0,1,arima_xgboost,5,decision_tree_gini,1.0,0.0
0,1,arima_xgboost,5,decision_tree_entropy,1.0,0.0
0,1,arima_lstm,1,svm_rbf,1.0,0.0015397842945268
0,1,arima_lstm,1,svm_linear,1.0,0.0008313657485421
0,1,arima_lstm,1,svm_poly,1.0,0.0005993166468079
0,1,arima_lstm,1,svm_sigmoid,1.0,0.008095384234559
0,1,arima_lstm,2,logistic_l1,1.0,0.0039969939500583
0,1,arima_lstm,2,logistic_l2,1.0,0.0025706979909963
0,1,arima_lstm,2,logistic_elasticnet,1.0,0.0032928840684494
0,1,arima_lstm,3,decision_tree_gini,1.0,0.0
0,1,arima_lstm,3,decision_tree_entropy,1.0,0.0
0,1,arima_lstm,4,svm_rbf,1.0,0.0013725126368976
0,1,arima_lstm,4,svm_linear,1.0,0.0011764474305126
0,1,arima_lstm,4,svm_poly,1.0,0.0005683160735614
0,1,arima_lstm,4,svm_sigmoid,1.0,0.0080676155813073
0,1,arima_lstm,4,logistic_l1,1.0,0.0039958814939349
0,1,arima_lstm,4,logistic_l2,1.0,0.0025710167594195
0,1,arima_lstm,4,logistic_elasticnet,1.0,0.0032924097814687
0,1,arima_lstm,5,svm_rbf,1.0,0.0015565981187106
0,1,arima_lstm,5,svm_linear,1.0,0.0007966628313159
0,1,arima_lstm,5,svm_poly,1.0,0.0006845212003644
0,1,arima_lstm,5,svm_sigmoid,1.0,0.0082805000156682
0,1,arima_lstm,5,logistic_l1,1.0,0.0039975404553566
0,1,arima_lstm,5,logistic_l2,1.0,0.0025708309293604
0,1,arima_lstm,5,logistic_elasticnet,1.0,0.0032925862602086
0,1,arima_lstm,5,decision_tree_gini,1.0,0.0
0,1,arima_lstm,5,decision_tree_entropy,1.0,0.0
0,1,xgboost_lstm,1,svm_rbf,1.0,0.0023615305642594
0,1,xgboost_lstm,1,svm_linear,1.0,0.0012643732799468
0,1,xgboost_lstm,1,svm_poly,0.9838709677419356,0.0020274925638144
0,1,xgboost_lstm,1,svm_sigmoid,0.9758064516129032,0.0160817139616881
0,1,xgboost_lstm,2,logistic_l1,1.0,0.0028893395287087
0,1,xgboost_lstm,2,logistic_l2,1.0,0.002206305824501
0,1,xgboost_lstm,2,logistic_elasticnet,1.0,0.0025769108703755
0,1,xgboost_lstm,3,decision_tree_gini,1.0,0.0
0,1,xgboost_lstm,3,decision_tree_entropy,1.0,0.0
0,1,xgboost_lstm,4,svm_rbf,1.0,0.0020339134143278
0,1,xgboost_lstm,4,svm_linear,1.0,0.0015901107677789
