repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
0,1,arima_xgboost,1,790530729,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,arima_xgboost,2,704755082,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,arima_xgboost,3,764311482,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,arima_xgboost,4,703767472,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,arima_xgboost,5,871379298,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,arima_lstm,1,2127205413,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,arima_lstm,2,291341045,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,arima_lstm,3,142898274,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,arima_lstm,4,1957364095,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,arima_lstm,5,1055859145,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,xgboost_lstm,1,966520550,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,xgboost_lstm,2,809147611,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,xgboost_lstm,3,1617606034,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,xgboost_lstm,4,1061046626,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,xgboost_lstm,5,707398418,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,2,arima_xgboost,1,1440323990,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,arima_xgboost,2,1616155908,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,arima_xgboost,3,1869728600,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,arima_xgboost,4,181906917,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,arima_xgboost,5,1898148421,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,arima_lstm,1,951768614,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,arima_lstm,2,1650870980,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,arima_lstm,3,1662959291,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,arima_lstm,4,2004910456,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,arima_lstm,5,950035546,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,xgboost_lstm,1,1384149626,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,xgboost_lstm,2,15365024,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,xgboost_lstm,3,23657675,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,xgboost_lstm,4,191009233,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,xgboost_lstm,5,1900226945,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,3,arima_xgboost,1,2045467455,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,arima_xgboost,2,1169626641,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,arima_xgboost,3,426329652,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,arima_xgboost,4,1525364174,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,arima_xgboost,5,1670789691,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,arima_lstm,1,643687560,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,arima_lstm,2,1199289639,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,arima_lstm,3,897275395,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,arima_lstm,4,62868951,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,arima_lstm,5,1779470127,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,xgboost_lstm,1,809605146,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,xgboost_lstm,2,1525393718,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,xgboost_lstm,3,1869256537,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,xgboost_lstm,4,839504037,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
