window,model,segment,observations,mae,rmse,directional_accuracy
1,arima,calibration,1798,0.008108931438486887,0.01169087529599335,0.5394883203559511
1,arima,trade,1798,0.02827600795396884,0.04469618540828066,0.47163515016685204
1,xgboost,calibration,1798,0.008305748159014074,0.011920806542777721,0.5300333704115684
1,xgboost,trade,1798,0.028765777030647324,0.04562557492370655,0.4760845383759733
1,lstm,calibration,1798,0.008093677407129223,0.011682966372071241,0.5506117908787542
1,lstm,trade,1798,0.028435399258412188,0.04496942936082554,0.449944382647386
2,arima,calibration,1798,0.028303582632171136,0.044731120828025904,0.4610678531701891
2,arima,trade,1798,0.020234118770231044,0.027868451022547557,0.5172413793103449
2,xgboost,calibration,1798,0.028762227147241425,0.04559272979577301,0.4788654060066741
2,xgboost,trade,1798,0.020875176543239626,0.02862763442837277,0.5183537263626251
2,lstm,calibration,1798,0.028547412790624425,0.045107513223914826,0.4410456062291435
2,lstm,trade,1798,0.01996474796732455,0.027572421590896366,0.5278086763070078
3,arima,calibration,1798,0.020149035599814718,0.027963603085387357,0.5389321468298109
3,arima,trade,1798,0.01279717086760454,0.01858572473974314,0.5300333704115684
3,xgboost,calibration,1798,0.022196653433515623,0.029798466166285138,0.4961067853170189
3,xgboost,trade,1798,0.013548467618067495,0.019385906848433308,0.46273637374860954
3,lstm,calibration,1798,0.019824850387228764,0.027312702753181865,0.550055617352614
3,lstm,trade,1798,0.013408324303988977,0.019557119992036704,0.4966629588431591
4,arima,calibration,1798,0.012774846158988003,0.018561174529078298,0.5506117908787542
4,arima,trade,1827,0.013035826877524137,0.019583583406988278,0.5287356321839081
4,xgboost,calibration,1798,0.013191433818978549,0.018976943706254315,0.5083426028921023
4,xgboost,trade,1827,0.013343145188042312,0.019851513601779596,0.5259989053092501
4,lstm,calibration,1798,0.012880282107400661,0.01876179790886755,0.5072302558398221
4,lstm,trade,1827,0.01316635806952823,0.019738619497369502,0.48549534756431306
