pair,classifier_group,selected_global_tau,tau_count,tau_beating_stronger,tau_beating_simple_average,tau_beating_stronger_min,tau_beating_stronger_max,tau_within_0.01_sharpe_of_best
arima_lstm,1,0.22,89,70,69,0.2,0.89,6
arima_lstm,2,0.38,89,70,70,0.2,0.89,7
arima_lstm,3,0.3,89,11,1,0.21,0.38,1
arima_lstm,4,0.38,89,70,69,0.2,0.89,5
arima_lstm,5,0.38,89,70,70,0.2,0.89,3
arima_xgboost,1,0.48,89,0,0,,,47
arima_xgboost,2,0.48,89,0,0,,,47
arima_xgboost,3,0.3,89,0,51,,,1
arima_xgboost,4,0.48,89,0,0,,,47
arima_xgboost,5,0.48,89,0,0,,,47
xgboost_lstm,1,0.27,89,2,9,0.27,0.28,1
xgboost_lstm,2,0.24,89,3,14,0.24,0.29,3
xgboost_lstm,3,0.2,89,0,3,,,1
xgboost_lstm,4,0.24,89,1,13,0.24,0.24,2
xgboost_lstm,5,0.24,89,2,13,0.24,0.25,2
