repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
0,patchtst_itransformer,1,0.24,1,0.1119826052004679,0.1119826052004679,0.5575278369654729,0.4826832994338308,-0.2320001651845409,itransformer,0.3224354413300166,0.2350923956354563
1,patchtst_itransformer,1,0.24,1,0.0970121971722595,0.0970121971722595,0.4969160177292385,0.3950235013911573,-0.2455858874993789,itransformer,0.3224354413300166,0.17448057639922188
2,patchtst_itransformer,1,0.24,1,0.1109948779649143,0.1109948779649143,0.5535713734985469,0.4764674923843177,-0.2329537266214714,itransformer,0.3224354413300166,0.2311359321685303
3,patchtst_itransformer,1,0.24,1,0.1119826052004679,0.1119826052004679,0.5575278369654729,0.4826832994338308,-0.2320001651845409,itransformer,0.3224354413300166,0.2350923956354563
4,patchtst_itransformer,1,0.24,1,0.1109948779649143,0.1109948779649143,0.5535713734985469,0.4764674923843177,-0.2329537266214714,itransformer,0.3224354413300166,0.2311359321685303
5,patchtst_itransformer,1,0.24,1,0.1095445368294432,0.1095445368294432,0.5484669268091138,0.4702416158701041,-0.2329537266214714,itransformer,0.3224354413300166,0.22603148547909718
6,patchtst_itransformer,1,0.24,1,0.1109948779649143,0.1109948779649143,0.5535713734985469,0.4764674923843177,-0.2329537266214714,itransformer,0.3224354413300166,0.2311359321685303
7,patchtst_itransformer,1,0.24,1,0.1119826052004679,0.1119826052004679,0.5575278369654729,0.4826832994338308,-0.2320001651845409,itransformer,0.3224354413300166,0.2350923956354563
8,patchtst_itransformer,1,0.24,1,0.1109948779649143,0.1109948779649143,0.5535713734985469,0.4764674923843177,-0.2329537266214714,itransformer,0.3224354413300166,0.2311359321685303
9,patchtst_itransformer,1,0.24,1,0.1109948779649143,0.1109948779649143,0.5535713734985469,0.4764674923843177,-0.2329537266214714,itransformer,0.3224354413300166,0.2311359321685303
10,patchtst_itransformer,1,0.24,1,0.1109948779649143,0.1109948779649143,0.5535713734985469,0.4764674923843177,-0.2329537266214714,itransformer,0.3224354413300166,0.2311359321685303
11,patchtst_itransformer,1,0.24,1,0.1141572149367653,0.1141572149367653,0.563712900072555,0.490042450028114,-0.2329537266214714,itransformer,0.3224354413300166,0.24127745874253842
12,patchtst_itransformer,1,0.24,1,0.1109948779649143,0.1109948779649143,0.5535713734985469,0.4764674923843177,-0.2329537266214714,itransformer,0.3224354413300166,0.2311359321685303
13,patchtst_itransformer,1,0.24,1,0.1141572149367653,0.1141572149367653,0.563712900072555,0.490042450028114,-0.2329537266214714,itransformer,0.3224354413300166,0.24127745874253842
14,patchtst_itransformer,1,0.24,1,0.1109948779649143,0.1109948779649143,0.5535713734985469,0.4764674923843177,-0.2329537266214714,itransformer,0.3224354413300166,0.2311359321685303
