model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source,annualized_return
ppo,rolling_w1_100000_seed42,20000,True,20000,62,0.0343840684725604,4.168993144387994,0.0648038369718096,-0.0084492764421277,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,
ppo,rolling_w1_100000_seed42,40000,False,20000,62,0.0498818773622773,3.768198638225588,0.0503580907811229,-0.0157052321957434,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,
ppo,rolling_w1_100000_seed42,60000,False,20000,62,0.0388669388928639,2.898981326918518,0.0335039723511769,-0.0185315888949914,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,
ppo,rolling_w1_100000_seed42,80000,False,20000,62,0.0312931153155939,1.9375756513071052,0.0153120847007843,-0.0330167253418427,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,
ppo,rolling_w1_100000_seed42,100000,False,20000,62,0.0413989565843551,2.92922208523116,0.0321233382954039,-0.0205704162957943,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,
tqc,rolling_w1_100000_seed42,20000,True,20000,62,0.1054877567789616,4.418031907622741,18.29506448589428,-0.0275063720380389,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,0.503230850208922
tqc,rolling_w1_100000_seed42,40000,False,20000,62,0.103891224432812,4.33207290720385,16.16590595377955,-0.030584521783549,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,0.4944265027941765
tqc,rolling_w1_100000_seed42,60000,False,20000,62,0.0698021813453069,2.8755940881903514,10.418799252979442,-0.0302857576357877,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,0.3155412290316621
tqc,rolling_w1_100000_seed42,80000,False,20000,62,0.0621602307628066,2.884944215465965,11.522166452836403,-0.0241067149178435,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,0.2777615819144678
tqc,rolling_w1_100000_seed42,100000,False,20000,62,0.074332629317982,3.486126014827501,14.197939099101538,-0.0238296893643231,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail,0.338332478345168
