repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
0,1,td3_tqc,1,1745435692,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,td3_tqc,2,735864669,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,td3_tqc,3,2051750541,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,td3_tqc,4,1646505609,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,1,td3_tqc,5,688685267,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
0,2,td3_tqc,1,1911849400,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,td3_tqc,2,1630233750,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,td3_tqc,3,983498495,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,td3_tqc,4,1053233657,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,2,td3_tqc,5,2027305948,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
0,3,td3_tqc,1,1769904861,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,td3_tqc,2,1888375840,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,td3_tqc,3,1798843703,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,td3_tqc,4,649768707,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,3,td3_tqc,5,327295088,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
0,4,td3_tqc,1,337230534,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
0,4,td3_tqc,2,1527835515,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
0,4,td3_tqc,3,657929636,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
0,4,td3_tqc,4,2022547571,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
0,4,td3_tqc,5,297840488,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
1,1,td3_tqc,1,1599863027,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
1,1,td3_tqc,2,740438220,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
1,1,td3_tqc,3,913663663,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
1,1,td3_tqc,4,398023195,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
1,1,td3_tqc,5,555317978,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
1,2,td3_tqc,1,1965349556,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
1,2,td3_tqc,2,1175820646,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
1,2,td3_tqc,3,851391117,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
1,2,td3_tqc,4,1334139182,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
1,2,td3_tqc,5,1420252507,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
1,3,td3_tqc,1,2135379111,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
1,3,td3_tqc,2,1019714533,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
1,3,td3_tqc,3,1888170044,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
1,3,td3_tqc,4,1041986167,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
1,3,td3_tqc,5,1053858057,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
1,4,td3_tqc,1,1326875659,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
1,4,td3_tqc,2,1457898092,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
1,4,td3_tqc,3,506903919,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
1,4,td3_tqc,4,1372902197,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
1,4,td3_tqc,5,457210954,previous_trade,2020-07-02,2020-09-30,2020-10-01,2020-12-31
2,1,td3_tqc,1,216928967,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
2,1,td3_tqc,2,1724683271,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
2,1,td3_tqc,3,995231374,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
2,1,td3_tqc,4,952983799,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
2,1,td3_tqc,5,1583887682,train_tail,2019-10-02,2019-12-31,2020-01-02,2020-04-01
2,2,td3_tqc,1,846091814,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
2,2,td3_tqc,2,2023895773,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
2,2,td3_tqc,3,1531013291,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
2,2,td3_tqc,4,1206722550,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
2,2,td3_tqc,5,894364833,previous_trade,2020-01-02,2020-04-01,2020-04-02,2020-07-01
2,3,td3_tqc,1,241391148,previous_trade,2020-04-02,2020-07-01,2020-07-02,2020-09-30
