model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source
td3,rolling_w1_100000_seed42,20000,True,20000,62,0.0468266204852982,0.2044291968461553,2.394097469979227,8.30987905382063,-0.0246007427451263,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
td3,rolling_w1_100000_seed42,40000,False,20000,62,0.0468266204852982,0.2044291968461553,2.394097469979227,8.30987905382063,-0.0246007427451263,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
td3,rolling_w1_100000_seed42,60000,False,20000,62,0.0468266204852982,0.2044291968461553,2.394097469979227,8.30987905382063,-0.0246007427451263,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
td3,rolling_w1_100000_seed42,80000,False,20000,62,0.0468266204852982,0.2044291968461553,2.394097469979227,8.30987905382063,-0.0246007427451263,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
td3,rolling_w1_100000_seed42,100000,False,20000,62,0.0468266204852982,0.2044291968461553,2.394097469979227,8.30987905382063,-0.0246007427451263,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
tqc,rolling_w1_100000_seed42,20000,True,20000,62,0.1054877567789616,0.503230850208922,4.418031907622741,18.29506448589428,-0.0275063720380389,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
tqc,rolling_w1_100000_seed42,40000,False,20000,62,0.103891224432812,0.4944265027941765,4.33207290720385,16.16590595377955,-0.030584521783549,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
tqc,rolling_w1_100000_seed42,60000,False,20000,62,0.0698021813453069,0.3155412290316621,2.8755940881903514,10.418799252979442,-0.0302857576357877,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
tqc,rolling_w1_100000_seed42,80000,False,20000,62,0.0621602307628066,0.2777615819144678,2.884944215465965,11.522166452836403,-0.0241067149178435,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
tqc,rolling_w1_100000_seed42,100000,False,20000,62,0.074332629317982,0.338332478345168,3.486126014827501,14.197939099101538,-0.0238296893643231,1,2012-01-04,2019-10-01,2019-10-02,2019-12-31,train_tail
