repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
0,arima_lstm,1,0.3,1,0.5842257588600002,0.7604706500236602,1.7110704714311338,3.802588527981686,-0.1999876253840428,lstm,1.7657022236836781,-0.05463175225254435
1,arima_lstm,1,0.3,1,0.59573816734,0.7762099549078831,1.7326580761351216,3.8836000917599507,-0.199868662212366,lstm,1.7657022236836781,-0.03304414754855656
2,arima_lstm,1,0.3,1,0.5823799097099993,0.7579495122675932,1.7067899163753646,3.7834711498996034,-0.20033178058928924,lstm,1.7657022236836781,-0.05891230730831354
3,arima_lstm,1,0.3,1,0.58958575642,0.7677953738026224,1.7232582303485358,3.8874071058273763,-0.19750835271450395,lstm,1.7657022236836781,-0.04244399333514237
4,arima_lstm,1,0.3,1,0.58663325019,0.7637599141646929,1.7187285883580132,3.8669752629079897,-0.19750835271450395,lstm,1.7657022236836781,-0.0469736353256649
5,arima_lstm,1,0.3,1,0.5839453675499999,0.7600876364757212,1.7129782397857962,3.796164847005518,-0.20022513961038646,lstm,1.7657022236836781,-0.05272398389788191
6,arima_lstm,1,0.3,1,0.5801444470399995,0.7548971268093383,1.70348703821476,3.7807434641977586,-0.19966896298517334,lstm,1.7657022236836781,-0.06221518546891813
7,arima_lstm,1,0.3,1,0.5830900041199998,0.7589193090730184,1.7108153232151577,3.79720887767911,-0.1998624077632719,lstm,1.7657022236836781,-0.054886900468520405
8,arima_lstm,1,0.3,1,0.5916089068100001,0.7705615906109957,1.7264823900161081,3.8530463528993906,-0.1999876253840428,lstm,1.7657022236836781,-0.03921983366756998
9,arima_lstm,1,0.3,1,0.5877909995099997,0.7653421107766207,1.7201533145707733,3.8581157825037335,-0.19837199138693296,lstm,1.7657022236836781,-0.04554890911290488
10,arima_lstm,1,0.3,1,0.5805999821799994,0.7555190514852554,1.704290749477035,3.7747088157237796,-0.20015293586040195,lstm,1.7657022236836781,-0.06141147420664317
11,arima_lstm,1,0.3,1,0.5909368225699998,0.7696425725556251,1.7306405170303159,3.879915846115956,-0.1983657901565279,lstm,1.7657022236836781,-0.03506170665336228
12,arima_lstm,1,0.3,1,0.5854462000999996,0.7621379495101688,1.7179937236067078,3.8382850498448366,-0.19856210250486173,lstm,1.7657022236836781,-0.04770850007697036
13,arima_lstm,1,0.3,1,0.5874549779500002,0.7648828717031009,1.7178167666637103,3.867439142100602,-0.19777502466080288,lstm,1.7657022236836781,-0.047885457019967825
14,arima_lstm,1,0.3,1,0.5894288743499998,0.7675809055034715,1.7244248249678602,3.869522587023616,-0.1983657901565279,lstm,1.7657022236836781,-0.041277398715817926
15,arima_lstm,1,0.3,1,0.5847423844299999,0.7611763994426579,1.7103072668271377,3.797901632559168,-0.20042025125588858,lstm,1.7657022236836781,-0.05539495685654039
16,arima_lstm,1,0.3,1,0.5899994067199998,0.7683608847389005,1.7240320849917388,3.8734546119701228,-0.1983657901565279,lstm,1.7657022236836781,-0.04167013869193936
17,arima_lstm,1,0.3,1,0.58850180538,0.7663136392083947,1.7209164738218734,3.8797836812531417,-0.19751452714004947,lstm,1.7657022236836781,-0.044785749861804725
18,arima_lstm,1,0.3,1,0.5850817233599996,0.7616399906700639,1.7122237893578443,3.8107023994627047,-0.199868662212366,lstm,1.7657022236836781,-0.05347843432583388
19,arima_lstm,1,0.3,1,0.5867716782099999,0.7639490779285922,1.7174803650624215,3.846707181741444,-0.19859818848565036,lstm,1.7657022236836781,-0.04822185862125661
20,arima_lstm,1,0.3,1,0.5994675856199996,0.7813142609957868,1.7422433988400576,3.9386319385774593,-0.19837199138693296,lstm,1.7657022236836781,-0.023458824843620496
21,arima_lstm,1,0.3,1,0.5811761778999998,0.7563057682928198,1.706690569873256,3.80908921676473,-0.19855291521241714,lstm,1.7657022236836781,-0.05901165381042217
22,arima_lstm,1,0.3,1,0.5866433487399998,0.7637737138420757,1.71863543935636,3.850209439861411,-0.19837199138693296,lstm,1.7657022236836781,-0.047066784327318034
23,arima_lstm,1,0.3,1,0.5931658363699996,0.7726909011670084,1.7323097382559811,3.8952830553962356,-0.1983657901565279,lstm,1.7657022236836781,-0.033392485427697016
24,arima_lstm,1,0.3,1,0.5823289209399998,0.7578798792447348,1.7058629249994397,3.788430715412614,-0.20005113889543336,lstm,1.7657022236836781,-0.05983929868423843
25,arima_lstm,1,0.3,1,0.5870353181499999,0.7643093559413006,1.7182013236460958,3.8493988120175535,-0.19855291521241714,lstm,1.7657022236836781,-0.04750090003758234
26,arima_lstm,1,0.3,1,0.5829189800399999,0.7586857273412895,1.7080053391820516,3.7960401649915014,-0.1998624077632719,lstm,1.7657022236836781,-0.05769688450162658
27,arima_lstm,1,0.3,1,0.5871389325799998,0.764450954332045,1.717924266166495,3.817956905009894,-0.20022513961038646,lstm,1.7657022236836781,-0.047777957517183056
28,arima_lstm,1,0.3,1,0.5821289238199996,0.7576067573239833,1.707006568356179,3.794195343956453,-0.19967521138065014,lstm,1.7657022236836781,-0.0586956553274991
29,arima_lstm,1,0.3,1,0.5884250798599995,0.7662087660795209,1.7221400914441878,3.8626053689747386,-0.1983657901565279,lstm,1.7657022236836781,-0.04356213223949035
0,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
1,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
2,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
3,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
4,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
5,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
6,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
7,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
8,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
9,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
10,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
11,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
12,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
13,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
14,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
15,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
16,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
17,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
18,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
19,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
20,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
21,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
22,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
23,arima_lstm,2,0.29,1,0.6282209289700003,0.8207590914863783,1.857750106405983,4.0803233622457595,-0.20115050171774684,lstm,1.7657022236836781,0.0920478827223048
