repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
0,1,patchtst_itransformer,1,619636728,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
0,1,patchtst_itransformer,2,1222844216,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
0,1,patchtst_itransformer,3,1750011854,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
0,1,patchtst_itransformer,4,677187883,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
0,1,patchtst_itransformer,5,2115717138,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
0,2,patchtst_itransformer,1,11609507,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
0,2,patchtst_itransformer,2,107603428,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
0,2,patchtst_itransformer,3,1959314311,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
0,2,patchtst_itransformer,4,2094046931,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
0,2,patchtst_itransformer,5,57536232,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
0,3,patchtst_itransformer,1,1347293862,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
0,3,patchtst_itransformer,2,801677047,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
0,3,patchtst_itransformer,3,467976815,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
0,3,patchtst_itransformer,4,967504811,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
0,3,patchtst_itransformer,5,845553995,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
0,4,patchtst_itransformer,1,1524985207,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
0,4,patchtst_itransformer,2,1598364111,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
0,4,patchtst_itransformer,3,1991856229,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
0,4,patchtst_itransformer,4,1396285290,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
0,4,patchtst_itransformer,5,1851791439,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
1,1,patchtst_itransformer,1,2139571557,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
1,1,patchtst_itransformer,2,1258693749,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
1,1,patchtst_itransformer,3,1237900939,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
1,1,patchtst_itransformer,4,691268638,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
1,1,patchtst_itransformer,5,235640858,train_tail,2019-08-02,2019-10-31,2019-11-01,2020-02-04
1,2,patchtst_itransformer,1,1826276982,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
1,2,patchtst_itransformer,2,586364089,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
1,2,patchtst_itransformer,3,287581376,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
1,2,patchtst_itransformer,4,2135660794,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
1,2,patchtst_itransformer,5,945902273,previous_trade,2019-11-01,2020-02-04,2020-02-05,2020-05-07
1,3,patchtst_itransformer,1,210567573,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
1,3,patchtst_itransformer,2,1449741481,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
1,3,patchtst_itransformer,3,1556039836,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
1,3,patchtst_itransformer,4,2053748542,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
1,3,patchtst_itransformer,5,598770775,previous_trade,2020-02-05,2020-05-07,2020-05-08,2020-08-06
1,4,patchtst_itransformer,1,391441977,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
1,4,patchtst_itransformer,2,2079673402,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
1,4,patchtst_itransformer,3,1811686270,previous_trade,2020-05-08,2020-08-06,2020-08-07,2020-08-31
