window,model,segment,observations,mae,rmse,directional_accuracy
1,patchtst,calibration,620,0.019170317780583916,0.026359683456491978,0.49193548387096775
1,patchtst,trade,620,0.021765782882339896,0.029925768033845068,0.49838709677419357
1,itransformer,calibration,620,0.019474563288189303,0.026734073830154064,0.5129032258064516
1,itransformer,trade,620,0.02238824469412611,0.03070440147184054,0.4838709677419355
2,patchtst,calibration,620,0.02179695911446657,0.030092044439371867,0.4693548387096774
2,patchtst,trade,620,0.029654906686744472,0.039399818707844945,0.4612903225806452
2,itransformer,calibration,620,0.023051523488968665,0.031739572674532146,0.4661290322580645
2,itransformer,trade,620,0.03132091123341459,0.04124985100199515,0.49516129032258066
3,patchtst,calibration,620,0.02959775824037761,0.03975499477486098,0.4693548387096774
3,patchtst,trade,620,0.031077017267271145,0.0436076913454724,0.5483870967741935
3,itransformer,calibration,620,0.03084205942887392,0.04044964923545553,0.482258064516129
3,itransformer,trade,620,0.032207811237706996,0.04551481763016594,0.5209677419354839
4,patchtst,calibration,620,0.03205199240217341,0.045132563605148605,0.4935483870967742
4,patchtst,trade,160,0.028617503274347533,0.03784017179361173,0.49375
4,itransformer,calibration,620,0.032364738605249174,0.045936250398035436,0.5370967741935484
4,itransformer,trade,160,0.030464897340263863,0.040296581147057926,0.4625
