repeat,window,pair,classifier_group,classifier,in_sample_balanced_accuracy,in_sample_brier
0,1,ppo_tqc,1,svm_rbf,0.9758064516129032,0.009402831154726952
0,1,ppo_tqc,1,svm_linear,0.9838709677419355,0.019264478633335545
0,1,ppo_tqc,1,svm_poly,0.9758064516129032,0.02849641774636431
0,1,ppo_tqc,1,svm_sigmoid,0.9516129032258065,0.020412737976753605
0,1,ppo_tqc,2,logistic_l1,1.0,0.01352360817592731
0,1,ppo_tqc,2,logistic_l2,0.9838709677419355,0.016718295741981137
0,1,ppo_tqc,2,logistic_elasticnet,0.9838709677419355,0.01578951359510427
0,1,ppo_tqc,3,decision_tree_gini,1.0,0.0
0,1,ppo_tqc,3,decision_tree_entropy,1.0,0.0
0,1,ppo_tqc,4,svm_rbf,0.9758064516129032,0.00944565489699729
0,1,ppo_tqc,4,svm_linear,0.9838709677419355,0.01993435832548147
0,1,ppo_tqc,4,svm_poly,0.9758064516129032,0.02857791001091048
0,1,ppo_tqc,4,svm_sigmoid,0.9516129032258065,0.020890048921058026
0,1,ppo_tqc,4,logistic_l1,1.0,0.013523571168464584
0,1,ppo_tqc,4,logistic_l2,0.9838709677419355,0.016719286244038976
0,1,ppo_tqc,4,logistic_elasticnet,0.9838709677419355,0.01579059543888315
0,1,ppo_tqc,5,svm_rbf,0.9758064516129032,0.009423126823507488
0,1,ppo_tqc,5,svm_linear,0.9838709677419355,0.018688081997581294
0,1,ppo_tqc,5,svm_poly,0.9758064516129032,0.028376383532423582
0,1,ppo_tqc,5,svm_sigmoid,0.9516129032258065,0.020309658437000517
0,1,ppo_tqc,5,logistic_l1,1.0,0.01352355792010782
0,1,ppo_tqc,5,logistic_l2,0.9838709677419355,0.016720726017393085
0,1,ppo_tqc,5,logistic_elasticnet,0.9838709677419355,0.015790231410187917
0,1,ppo_tqc,5,decision_tree_gini,1.0,0.0
0,1,ppo_tqc,5,decision_tree_entropy,1.0,0.0
0,2,ppo_tqc,1,svm_rbf,0.9838709677419355,0.008830346029931234
0,2,ppo_tqc,1,svm_linear,0.9838709677419355,0.016033473080740056
0,2,ppo_tqc,1,svm_poly,0.9838709677419355,0.01181745503064516
0,2,ppo_tqc,1,svm_sigmoid,0.967741935483871,0.019760406286293497
0,2,ppo_tqc,2,logistic_l1,0.9919354838709677,0.011476286745743658
0,2,ppo_tqc,2,logistic_l2,0.9919354838709677,0.011458949505675695
0,2,ppo_tqc,2,logistic_elasticnet,0.9919354838709677,0.011558808394219546
0,2,ppo_tqc,3,decision_tree_gini,1.0,0.0
0,2,ppo_tqc,3,decision_tree_entropy,1.0,0.0
0,2,ppo_tqc,4,svm_rbf,0.9838709677419355,0.009919712350446842
0,2,ppo_tqc,4,svm_linear,0.9838709677419355,0.018127647207314797
0,2,ppo_tqc,4,svm_poly,0.9838709677419355,0.01233246805916658
0,2,ppo_tqc,4,svm_sigmoid,0.967741935483871,0.020850835917194346
0,2,ppo_tqc,4,logistic_l1,0.9919354838709677,0.011476424211306801
0,2,ppo_tqc,4,logistic_l2,0.9919354838709677,0.011458825599939134
0,2,ppo_tqc,4,logistic_elasticnet,0.9919354838709677,0.011553331920706289
0,2,ppo_tqc,5,svm_rbf,0.9838709677419355,0.007314527729951558
0,2,ppo_tqc,5,svm_linear,0.9838709677419355,0.018271058682146495
0,2,ppo_tqc,5,svm_poly,0.9838709677419355,0.011744963208739388
0,2,ppo_tqc,5,svm_sigmoid,0.967741935483871,0.018556725260816517
0,2,ppo_tqc,5,logistic_l1,0.9919354838709677,0.011476100297073896
0,2,ppo_tqc,5,logistic_l2,0.9919354838709677,0.011459222820485719
0,2,ppo_tqc,5,logistic_elasticnet,0.9919354838709677,0.011553247777116681
0,2,ppo_tqc,5,decision_tree_gini,1.0,0.0
0,2,ppo_tqc,5,decision_tree_entropy,1.0,0.0
0,3,ppo_tqc,1,svm_rbf,0.9838709677419355,0.008352589471714517
0,3,ppo_tqc,1,svm_linear,0.9919354838709677,0.017778414946601755
0,3,ppo_tqc,1,svm_poly,0.9919354838709677,0.01222532989163935
0,3,ppo_tqc,1,svm_sigmoid,0.967741935483871,0.018987664774639916
0,3,ppo_tqc,2,logistic_l1,0.9919354838709677,0.010753608997587859
0,3,ppo_tqc,2,logistic_l2,0.9838709677419355,0.011450793566958812
0,3,ppo_tqc,2,logistic_elasticnet,0.9838709677419355,0.011290298654187233
0,3,ppo_tqc,3,decision_tree_gini,1.0,0.0
0,3,ppo_tqc,3,decision_tree_entropy,1.0,0.0
0,3,ppo_tqc,4,svm_rbf,0.9838709677419355,0.00847484473266032
0,3,ppo_tqc,4,svm_linear,0.9919354838709677,0.01856866776074239
0,3,ppo_tqc,4,svm_poly,0.9919354838709677,0.012008117711465465
0,3,ppo_tqc,4,svm_sigmoid,0.967741935483871,0.0193939188621204
0,3,ppo_tqc,4,logistic_l1,0.9919354838709677,0.010753665950088635
0,3,ppo_tqc,4,logistic_l2,0.9838709677419355,0.011450483878772684
0,3,ppo_tqc,4,logistic_elasticnet,0.9838709677419355,0.01130638342077544
0,3,ppo_tqc,5,svm_rbf,0.9838709677419355,0.008502257105321417
0,3,ppo_tqc,5,svm_linear,0.9919354838709677,0.017843143249656277
0,3,ppo_tqc,5,svm_poly,0.9919354838709677,0.012598444503367327
0,3,ppo_tqc,5,svm_sigmoid,0.967741935483871,0.01925014606089296
0,3,ppo_tqc,5,logistic_l1,0.9919354838709677,0.010753723114992673
0,3,ppo_tqc,5,logistic_l2,0.9838709677419355,0.011451550527766974
0,3,ppo_tqc,5,logistic_elasticnet,0.9838709677419355,0.01130711353188739
0,3,ppo_tqc,5,decision_tree_gini,1.0,0.0
0,3,ppo_tqc,5,decision_tree_entropy,1.0,0.0
0,4,ppo_tqc,1,svm_rbf,0.967741935483871,0.010599769227127508
0,4,ppo_tqc,1,svm_linear,0.9838709677419355,0.020410281086555356
0,4,ppo_tqc,1,svm_poly,0.9758064516129032,0.027994815742306476
0,4,ppo_tqc,1,svm_sigmoid,0.9516129032258065,0.02147793989657301
0,4,ppo_tqc,2,logistic_l1,1.0,0.013509674264814833
0,4,ppo_tqc,2,logistic_l2,0.9838709677419355,0.01694048893424941
0,4,ppo_tqc,2,logistic_elasticnet,0.9838709677419355,0.01592643416516153
0,4,ppo_tqc,3,decision_tree_gini,1.0,0.0
0,4,ppo_tqc,3,decision_tree_entropy,1.0,0.0
0,4,ppo_tqc,4,svm_rbf,0.967741935483871,0.010371437251489878
0,4,ppo_tqc,4,svm_linear,0.9838709677419355,0.02179080927888598
0,4,ppo_tqc,4,svm_poly,0.9758064516129032,0.028302277395832496
0,4,ppo_tqc,4,svm_sigmoid,0.9516129032258065,0.02105068423042964
0,4,ppo_tqc,4,logistic_l1,1.0,0.013509470374516231
0,4,ppo_tqc,4,logistic_l2,0.9838709677419355,0.016941328246586288
0,4,ppo_tqc,4,logistic_elasticnet,0.9838709677419355,0.01592688465882785
0,4,ppo_tqc,5,svm_rbf,0.967741935483871,0.010127437759483531
0,4,ppo_tqc,5,svm_linear,0.9838709677419355,0.021582638722457522
0,4,ppo_tqc,5,svm_poly,0.9758064516129032,0.028001303873275575
0,4,ppo_tqc,5,svm_sigmoid,0.9516129032258065,0.022557810641035094
0,4,ppo_tqc,5,logistic_l1,1.0,0.01350975530290923
0,4,ppo_tqc,5,logistic_l2,0.9838709677419355,0.016941237488997275
0,4,ppo_tqc,5,logistic_elasticnet,0.9838709677419355,0.015926624694977805
0,4,ppo_tqc,5,decision_tree_gini,1.0,0.0
0,4,ppo_tqc,5,decision_tree_entropy,1.0,0.0
1,1,ppo_tqc,1,svm_rbf,0.9758064516129032,0.009383693760269837
1,1,ppo_tqc,1,svm_linear,0.9838709677419355,0.018871396176826396
1,1,ppo_tqc,1,svm_poly,0.9758064516129032,0.028075966200987342
1,1,ppo_tqc,1,svm_sigmoid,0.9516129032258065,0.01981588111680554
1,1,ppo_tqc,2,logistic_l1,1.0,0.013523515883711278
1,1,ppo_tqc,2,logistic_l2,0.9838709677419355,0.01672165469492293
1,1,ppo_tqc,2,logistic_elasticnet,0.9838709677419355,0.01579083597136937
1,1,ppo_tqc,3,decision_tree_gini,1.0,0.0
1,1,ppo_tqc,3,decision_tree_entropy,1.0,0.0
1,1,ppo_tqc,4,svm_rbf,0.9758064516129032,0.009663777596748125
1,1,ppo_tqc,4,svm_linear,0.9838709677419355,0.020535396457052497
1,1,ppo_tqc,4,svm_poly,0.9758064516129032,0.0283271382619566
1,1,ppo_tqc,4,svm_sigmoid,0.9516129032258065,0.020190407608460702
1,1,ppo_tqc,4,logistic_l1,1.0,0.013523572020019473
1,1,ppo_tqc,4,logistic_l2,0.9838709677419355,0.016719810806358388
1,1,ppo_tqc,4,logistic_elasticnet,0.9838709677419355,0.01579006654635953
1,1,ppo_tqc,5,svm_rbf,0.9758064516129032,0.009232643727598048
1,1,ppo_tqc,5,svm_linear,0.9838709677419355,0.018908586988733316
1,1,ppo_tqc,5,svm_poly,0.9758064516129032,0.028027752912986596
