model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source,annualized_return
ppo,rolling_w1_100000_seed42,20000,True,20000,62,0.0154979320799994,2.8376609024792447,0.0519580640710853,-0.004792965080821,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,
ppo,rolling_w1_100000_seed42,40000,False,20000,62,0.004995817100001,1.233450080086921,0.0127321320706583,-0.0063550898974464,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,
ppo,rolling_w1_100000_seed42,60000,False,20000,62,0.0068474721599998,1.9372357207530384,0.0234122471893506,-0.004718713592561,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,
ppo,rolling_w1_100000_seed42,80000,False,20000,62,0.0024556804500011,0.528391262571078,0.004525920517141,-0.008899904780559,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,
ppo,rolling_w1_100000_seed42,100000,False,20000,62,0.00391195927,2.580893942962424,0.0380348998003187,-0.0016576605676539,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,
tqc,rolling_w1_100000_seed42,20000,True,20000,62,0.1333102580000011,2.9415136151204946,14.835508492120038,-0.0446925034741018,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,0.6630360148241417
tqc,rolling_w1_100000_seed42,40000,False,20000,62,0.1333102580000011,2.9415136151204946,14.835508492120038,-0.0446925034741018,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,0.6630360148241417
tqc,rolling_w1_100000_seed42,60000,False,20000,62,0.1333102580000011,2.9415136151204946,14.835508492120038,-0.0446925034741018,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,0.6630360148241417
tqc,rolling_w1_100000_seed42,80000,False,20000,62,0.1333102580000011,2.9415136151204946,14.835508492120038,-0.0446925034741018,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,0.6630360148241417
tqc,rolling_w1_100000_seed42,100000,True,100000,62,0.1386556050000009,3.029670958527069,15.38923075543528,-0.0451711068089035,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail,0.6951485861606308
ppo,rolling_w2_100000_seed42,20000,True,20000,62,0.0092279998200004,2.4014720297185823,0.0335142065956571,-0.0044351904474688,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,
ppo,rolling_w2_100000_seed42,40000,True,40000,62,0.0148326785799999,2.404573591900283,0.0370579606763763,-0.0064420593595291,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,
ppo,rolling_w2_100000_seed42,60000,True,60000,62,0.0223760175800005,2.6080357137347328,0.0409011099487836,-0.008785552818963,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,
ppo,rolling_w2_100000_seed42,80000,True,80000,62,0.0150730099599996,3.137971150535398,0.0460707860217487,-0.0052541976866264,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,
ppo,rolling_w2_100000_seed42,100000,False,80000,62,0.0477993200599993,2.943016258624913,0.0343337377825407,-0.0221842011070659,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,
tqc,rolling_w2_100000_seed42,20000,True,20000,62,0.1948491600199995,3.453212921992036,12.835344931625134,-0.0827223785094388,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,1.061770261733102
tqc,rolling_w2_100000_seed42,40000,False,20000,62,0.1948491600199995,3.453212921992036,12.835344931625134,-0.0827223785094388,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,1.061770261733102
tqc,rolling_w2_100000_seed42,60000,False,20000,62,0.1948491600199995,3.453212921992036,12.835344931625134,-0.0827223785094388,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,1.061770261733102
tqc,rolling_w2_100000_seed42,80000,False,20000,62,0.1948491600199995,3.453212921992036,12.835344931625134,-0.0827223785094388,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,1.061770261733102
tqc,rolling_w2_100000_seed42,100000,False,20000,62,0.1948491600199995,3.453212921992036,12.835344931625134,-0.0827223785094388,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade,1.061770261733102
ppo,rolling_w3_100000_seed42,20000,True,20000,62,0.0228412911899993,0.7486706629597032,0.0069606340998659,-0.0574357629521702,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,
ppo,rolling_w3_100000_seed42,40000,False,20000,62,-0.00065589373,-0.0330081482821294,-0.0002558283463231,-0.0242384864171513,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,
ppo,rolling_w3_100000_seed42,60000,True,60000,62,0.0052442049900007,1.0671323995690578,0.0091458015632176,-0.009310951666835,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,
ppo,rolling_w3_100000_seed42,80000,False,60000,62,0.0008337621599998,0.5640640378511295,0.0048432235922333,-0.0027901676612385,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,
ppo,rolling_w3_100000_seed42,100000,False,60000,62,0.00060086805,0.3617725235290837,0.003090383339696,-0.0031643787335098,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,
tqc,rolling_w3_100000_seed42,20000,True,20000,62,0.0062463120599995,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,0.0256322721959898
tqc,rolling_w3_100000_seed42,40000,False,20000,62,0.0062463120599995,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,0.0256322721959898
tqc,rolling_w3_100000_seed42,60000,False,20000,62,0.0062463120599995,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,0.0256322721959898
tqc,rolling_w3_100000_seed42,80000,False,20000,62,0.0062463120599995,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,0.0256322721959898
tqc,rolling_w3_100000_seed42,100000,False,20000,62,0.0062463120599995,0.2459579108983182,0.1319297927482618,-0.1942872164204742,3,2016-06-01,2020-02-04,2020-02-05,2020-05-07,previous_trade,0.0256322721959898
ppo,rolling_w4_100000_seed42,20000,True,20000,62,0.1156546114000005,2.5501190165256125,0.0395903610353823,-0.0462346417506829,4,2016-06-01,2020-05-07,2020-05-08,2020-08-06,previous_trade,
