repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
0,ppo_tqc,1,0.46,1,0.16699365123000165,0.209052536034674,0.8648058676464563,1.1091876780168983,-0.18847354706323116,tqc,1.2110915732100977,-0.34628570556364147
1,ppo_tqc,1,0.46,1,0.34402895468000083,0.4382972533743019,1.2967579809497332,2.1459266785876916,-0.20424614584817058,tqc,1.2110915732100977,0.08566640773963541
2,ppo_tqc,1,0.46,1,0.34402895468000083,0.4382972533743019,1.2967579809497332,2.1459266785876916,-0.20424614584817058,tqc,1.2110915732100977,0.08566640773963541
3,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
4,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
5,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
6,ppo_tqc,1,0.46,1,0.34402895468000083,0.4382972533743019,1.2967579809497332,2.1459266785876916,-0.20424614584817058,tqc,1.2110915732100977,0.08566640773963541
7,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
8,ppo_tqc,1,0.46,1,0.34402895468000083,0.4382972533743019,1.2967579809497332,2.1459266785876916,-0.20424614584817058,tqc,1.2110915732100977,0.08566640773963541
9,ppo_tqc,1,0.46,1,0.34402895468000083,0.4382972533743019,1.2967579809497332,2.1459266785876916,-0.20424614584817058,tqc,1.2110915732100977,0.08566640773963541
10,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
11,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
12,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
13,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
14,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
15,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
16,ppo_tqc,1,0.46,1,0.34402895468000083,0.4382972533743019,1.2967579809497332,2.1459266785876916,-0.20424614584817058,tqc,1.2110915732100977,0.08566640773963541
17,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
18,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
19,ppo_tqc,1,0.46,1,0.34402895468000083,0.4382972533743019,1.2967579809497332,2.1459266785876916,-0.20424614584817058,tqc,1.2110915732100977,0.08566640773963541
20,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
21,ppo_tqc,1,0.46,1,0.34402895468000083,0.4382972533743019,1.2967579809497332,2.1459266785876916,-0.20424614584817058,tqc,1.2110915732100977,0.08566640773963541
22,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
23,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
24,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
25,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
26,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
27,ppo_tqc,1,0.46,1,0.3436799668500008,0.43783817793319213,1.2954308309498161,2.1435299385149995,-0.2042603511460721,tqc,1.2110915732100977,0.0843392577397184
