model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source
td3,rolling_w1_100000_seed42,20000,True,20000,62,0.0121359411200006,0.0502516636197072,0.371353973764398,0.6660329809204876,-0.0754492120649298,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
td3,rolling_w1_100000_seed42,40000,False,20000,62,0.0121359411200006,0.0502516636197072,0.371353973764398,0.6660329809204876,-0.0754492120649298,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
td3,rolling_w1_100000_seed42,60000,False,20000,62,0.0121359411200006,0.0502516636197072,0.371353973764398,0.6660329809204876,-0.0754492120649298,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
td3,rolling_w1_100000_seed42,80000,False,20000,62,0.0121359411200006,0.0502516636197072,0.371353973764398,0.6660329809204876,-0.0754492120649298,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
td3,rolling_w1_100000_seed42,100000,False,20000,62,0.0121359411200006,0.0502516636197072,0.371353973764398,0.6660329809204876,-0.0754492120649298,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
tqc,rolling_w1_100000_seed42,20000,True,20000,62,0.1333102580000011,0.6630360148241417,2.9415136151204946,14.835508492120038,-0.0446925034741018,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
tqc,rolling_w1_100000_seed42,40000,False,20000,62,0.1333102580000011,0.6630360148241417,2.9415136151204946,14.835508492120038,-0.0446925034741018,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
tqc,rolling_w1_100000_seed42,60000,False,20000,62,0.1333102580000011,0.6630360148241417,2.9415136151204946,14.835508492120038,-0.0446925034741018,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
tqc,rolling_w1_100000_seed42,80000,False,20000,62,0.1333102580000011,0.6630360148241417,2.9415136151204946,14.835508492120038,-0.0446925034741018,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
tqc,rolling_w1_100000_seed42,100000,True,100000,62,0.1386556050000009,0.6951485861606308,3.029670958527069,15.38923075543528,-0.0451711068089035,1,2016-06-01,2019-08-01,2019-08-02,2019-10-31,train_tail
td3,rolling_w2_100000_seed42,20000,True,20000,62,0.1709499499799998,0.8992194856561322,3.014493650491388,9.633701433591671,-0.0933410166232318,2,2016-06-01,2019-10-31,2019-11-01,2020-02-04,previous_trade
