repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
0,td3_tqc,1,0.7,20,0.4500847603500009,0.5790496108308838,1.4922609432719263,2.530283807888661,-0.22884769251005832,td3,1.607749212334684,-0.11548826906275766
1,td3_tqc,1,0.7,20,0.45764070738999996,0.589169994149989,1.5157535611240687,2.51868154886279,-0.2339200024774888,td3,1.607749212334684,-0.09199565121061526
2,td3_tqc,1,0.7,20,0.45098134215999974,0.5802498554448865,1.5024247108554376,2.4884331845431538,-0.23317879662154295,td3,1.607749212334684,-0.10532450147924632
3,td3_tqc,1,0.7,20,0.4542293871300003,0.5845994022709791,1.5086910830386866,2.5464232243123894,-0.22957668493179817,td3,1.607749212334684,-0.09905812929599733
4,td3_tqc,1,0.7,20,0.45079890360999997,0.58000561309881,1.5015608091865966,2.508457246957895,-0.23122005120964517,td3,1.607749212334684,-0.10618840314808731
5,td3_tqc,1,0.7,20,0.44997955092999975,0.5789087792415195,1.4979984487799003,2.4740581943823052,-0.2339915773024308,td3,1.607749212334684,-0.10975076355478364
6,td3_tqc,1,0.7,20,0.4530247490900008,0.5829859780476547,1.5022093945160966,2.565446245090814,-0.22724544673787062,td3,1.607749212334684,-0.10553981781858734
7,td3_tqc,1,0.7,20,0.45098134215999974,0.5802498554448865,1.5024247108554376,2.4884331845431538,-0.23317879662154295,td3,1.607749212334684,-0.10532450147924632
8,td3_tqc,1,0.7,20,0.45098134215999974,0.5802498554448865,1.5024247108554376,2.4884331845431538,-0.23317879662154295,td3,1.607749212334684,-0.10532450147924632
9,td3_tqc,1,0.7,20,0.45098134215999974,0.5802498554448865,1.5024247108554376,2.4884331845431538,-0.23317879662154295,td3,1.607749212334684,-0.10532450147924632
10,td3_tqc,1,0.7,20,0.4525167295399999,0.582305657241194,1.505416215322213,2.51536643161586,-0.23149933541377643,td3,1.607749212334684,-0.1023329970124709
11,td3_tqc,1,0.7,20,0.4500847603500009,0.5790496108308838,1.4922609432719263,2.530283807888661,-0.22884769251005832,td3,1.607749212334684,-0.11548826906275766
12,td3_tqc,1,0.7,20,0.4586143002899996,0.5904748940308477,1.5201149038821316,2.5328832084757145,-0.2331236166179943,td3,1.607749212334684,-0.08763430845255238
13,td3_tqc,1,0.7,20,0.4500847603500009,0.5790496108308838,1.4922609432719263,2.530283807888661,-0.22884769251005832,td3,1.607749212334684,-0.11548826906275766
14,td3_tqc,1,0.7,20,0.45098134215999974,0.5802498554448865,1.5024247108554376,2.4884331845431538,-0.23317879662154295,td3,1.607749212334684,-0.10532450147924632
15,td3_tqc,1,0.7,20,0.4486151572799999,0.5770826367114679,1.495984950181253,2.516879566602041,-0.22928496236733675,td3,1.607749212334684,-0.11176426215343094
16,td3_tqc,1,0.7,20,0.45098134215999974,0.5802498554448865,1.5024247108554376,2.4884331845431538,-0.23317879662154295,td3,1.607749212334684,-0.10532450147924632
17,td3_tqc,1,0.7,20,0.4639680275699998,0.5976540236810688,1.5301979306661722,2.555718708171399,-0.23384968845365872,td3,1.607749212334684,-0.07755128166851177
18,td3_tqc,1,0.7,20,0.44789215262000037,0.5761151069122741,1.4925951232938028,2.5263425199738037,-0.22804315026857402,td3,1.607749212334684,-0.11515408904088109
19,td3_tqc,1,0.7,20,0.4500847603500009,0.5790496108308838,1.4922609432719263,2.530283807888661,-0.22884769251005832,td3,1.607749212334684,-0.11548826906275766
20,td3_tqc,1,0.7,20,0.45098134215999974,0.5802498554448865,1.5024247108554376,2.4884331845431538,-0.23317879662154295,td3,1.607749212334684,-0.10532450147924632
21,td3_tqc,1,0.7,20,0.45764070738999996,0.589169994149989,1.5157535611240687,2.51868154886279,-0.2339200024774888,td3,1.607749212334684,-0.09199565121061526
22,td3_tqc,1,0.7,20,0.4580753089499998,0.5897524629547783,1.5187041036031894,2.5493126415998977,-0.2313378333167726,td3,1.607749212334684,-0.08904510873149452
23,td3_tqc,1,0.7,20,0.45764070738999996,0.589169994149989,1.5157535611240687,2.51868154886279,-0.2339200024774888,td3,1.607749212334684,-0.09199565121061526
24,td3_tqc,1,0.7,20,0.4606962903900007,0.593266041101054,1.5203119010650257,2.6106004699191017,-0.22725271367144062,td3,1.607749212334684,-0.08743731126965826
25,td3_tqc,1,0.7,20,0.4500847603500009,0.5790496108308838,1.4922609432719263,2.530283807888661,-0.22884769251005832,td3,1.607749212334684,-0.11548826906275766
26,td3_tqc,1,0.7,20,0.4580247906100008,0.5896847543948414,1.5111087425622418,2.5799155545996264,-0.2285674635138799,td3,1.607749212334684,-0.09664046977244212
