window,pair,segment,mean_holding_l1,mean_dispersion,identical_holding_rate
1,arima_xgboost,calibration,10940.532258064517,0.29401378664158007,0.0
1,arima_xgboost,trade,8568.90322580645,0.2728457784386108,0.0
1,arima_lstm,calibration,9267.225806451614,0.2613176027177411,0.0
1,arima_lstm,trade,9349.854838709678,0.26904741292554507,0.0
1,xgboost_lstm,calibration,13890.435483870968,0.32726543172059763,0.0
1,xgboost_lstm,trade,12872.629032258064,0.2977882340114447,0.0
2,arima_xgboost,calibration,8195.387096774193,0.24318134209174377,0.0
2,arima_xgboost,trade,11867.209677419354,0.3047811562213245,0.0
2,arima_lstm,calibration,7741.806451612903,0.2911671066569013,0.0
2,arima_lstm,trade,13263.370967741936,0.22364945365833652,0.0
2,xgboost_lstm,calibration,10901.870967741936,0.25735667652468086,0.0
2,xgboost_lstm,trade,16163.09677419355,0.2520905442894655,0.0
3,arima_xgboost,calibration,8642.951612903225,0.29420890073226724,0.0
3,arima_xgboost,trade,16365.048387096775,0.2592743934577541,0.0
3,arima_lstm,calibration,11509.838709677419,0.28091263841497904,0.0
3,arima_lstm,trade,13834.790322580646,0.2696577312695786,0.0
3,xgboost_lstm,calibration,13003.5,0.30299901296026704,0.016129032258064516
3,xgboost_lstm,trade,18456.032258064515,0.21925341780707014,0.0
4,arima_xgboost,calibration,9042.161290322581,0.2855562702423896,0.0
4,arima_xgboost,trade,17175.61111111111,0.28156770752739146,0.0
4,arima_lstm,calibration,7937.0,0.2611904934941419,0.0
4,arima_lstm,trade,12121.944444444445,0.25199795299255245,0.0
4,xgboost_lstm,calibration,12028.451612903225,0.3043809836082827,0.0
4,xgboost_lstm,trade,21532.777777777777,0.2466588660652841,0.0
