window,model,segment,observations,mae,rmse,directional_accuracy
1,arima,calibration,1612,0.01045609515295991,0.014583383425902399,0.4832506203473945
1,arima,trade,1612,0.010494564240748596,0.014770182663340738,0.4832506203473945
1,xgboost,calibration,1612,0.011153773882226672,0.015221681882347555,0.47332506203473945
1,xgboost,trade,1612,0.010820638741863325,0.0151197789427391,0.5080645161290323
1,lstm,calibration,1612,0.01048587796821124,0.014599496964704379,0.45719602977667495
1,lstm,trade,1612,0.010463592305100666,0.014729308514781459,0.47270471464019853
2,arima,calibration,1612,0.010487962972427904,0.014775687051893747,0.4869727047146402
2,arima,trade,1612,0.015423520717050698,0.02099161436249924,0.4975186104218362
2,xgboost,calibration,1612,0.010862826001198355,0.01516350655735235,0.5080645161290323
2,xgboost,trade,1612,0.016658169856306058,0.022549343127560666,0.47332506203473945
2,lstm,calibration,1612,0.010510756891617802,0.014800962424177121,0.46774193548387094
2,lstm,trade,1612,0.015393238090029791,0.021046234507690005,0.49503722084367247
3,arima,calibration,1612,0.015402429928100335,0.020980818667530713,0.5055831265508685
3,arima,trade,1612,0.016440292224460095,0.025263733653574753,0.4981389578163772
3,xgboost,calibration,1612,0.016537023805719864,0.022390363067099246,0.4770471464019851
3,xgboost,trade,1612,0.017004009302127174,0.025555952494582933,0.4857320099255583
3,lstm,calibration,1612,0.015372650400671237,0.020973672632302744,0.5049627791563276
3,lstm,trade,1612,0.016434657671204462,0.02527264308667822,0.48883374689826303
4,arima,calibration,1612,0.016418027948807114,0.025264129914844665,0.500620347394541
4,arima,trade,468,0.01506287306362476,0.02151594414437809,0.47649572649572647
4,xgboost,calibration,1612,0.016799085315187128,0.025383495405750158,0.49379652605459057
4,xgboost,trade,468,0.016151373139156055,0.02242114749292383,0.4636752136752137
4,lstm,calibration,1612,0.016405472704468942,0.025269811477439064,0.4975186104218362
4,lstm,trade,468,0.014987645888205732,0.021414900938800184,0.4829059829059829
