repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
0,arima_lstm,1,0.38,2,0.17478677807000187,0.21665526301397064,1.1238390141590593,1.4499648054229854,-0.1494210495342111,lstm,1.1265512944940834,-0.002712280335024131
1,arima_lstm,1,0.38,2,0.1755564391600022,0.21762570401354542,1.1291210457966834,1.451098403994807,-0.14997308481246474,lstm,1.1265512944940834,0.002569751302599954
2,arima_lstm,1,0.38,2,0.1741618248400012,0.2158673811838454,1.11445893998215,1.434994481008087,-0.15043080934513287,lstm,1.1265512944940834,-0.012092354511933356
3,arima_lstm,1,0.38,2,0.17619515868000168,0.21843114986906542,1.1301172249136129,1.4567547951250819,-0.14994366285941085,lstm,1.1265512944940834,0.0035659304195294617
4,arima_lstm,1,0.38,2,0.17582468605000168,0.21796396038410282,1.1285647268969028,1.4536390283360536,-0.14994366285941085,lstm,1.1265512944940834,0.0020134324028193706
5,arima_lstm,1,0.38,2,0.17495332410000164,0.21686524385031403,1.1237053969138082,1.4463114993639292,-0.14994366285941085,lstm,1.1265512944940834,-0.002845897580275203
6,arima_lstm,1,0.38,2,0.1751202628100017,0.21707572627012928,1.1201433108612375,1.4469585854812343,-0.1500220728141528,lstm,1.1265512944940834,-0.006407983632845893
7,arima_lstm,1,0.38,2,0.17212115793000216,0.21329533666633615,1.1094592239335497,1.4134148399618596,-0.1509078089714212,lstm,1.1265512944940834,-0.017092070560533745
8,arima_lstm,1,0.38,2,0.17435778722000173,0.21611442218013366,1.1216329401299314,1.4357956036017854,-0.15051893294421348,lstm,1.1265512944940834,-0.004918354364152
9,arima_lstm,1,0.38,2,0.17399971744000164,0.21566302641856594,1.119698265009574,1.443324264491853,-0.1494210495342111,lstm,1.1265512944940834,-0.0068530294845094986
10,arima_lstm,1,0.38,2,0.17458482301000133,0.21640064723865926,1.117831799408469,1.442458720769284,-0.1500220728141528,lstm,1.1265512944940834,-0.008719495085614426
11,arima_lstm,1,0.38,2,0.17515965785000187,0.217125397922737,1.1213223728087585,1.447762431467243,-0.14997308481246474,lstm,1.1265512944940834,-0.005228921685324961
12,arima_lstm,1,0.38,2,0.17672444242000163,0.21909866573558823,1.1340927462101833,1.4604428643444185,-0.1500220728141528,lstm,1.1265512944940834,0.007541451716099878
13,arima_lstm,1,0.38,2,0.17549434912000184,0.21754741154898816,1.1276427861293958,1.4559355072605016,-0.1494210495342111,lstm,1.1265512944940834,0.0010914916353124138
14,arima_lstm,1,0.38,2,0.17459457946000212,0.21641294750932905,1.1229722674223226,1.4377789111057393,-0.15051893294421348,lstm,1.1265512944940834,-0.003579027071760832
15,arima_lstm,1,0.38,2,0.17495332410000164,0.21686524385031403,1.1237053969138082,1.4463114993639292,-0.14994366285941085,lstm,1.1265512944940834,-0.002845897580275203
16,arima_lstm,1,0.38,2,0.17476447542000195,0.2166271443774872,1.1224585624526373,1.4429680535481682,-0.1501260848047291,lstm,1.1265512944940834,-0.004092732041446112
17,arima_lstm,1,0.38,2,0.1751901163400018,0.21716380207994468,1.1250423509010776,1.4483026353942035,-0.14994366285941085,lstm,1.1265512944940834,-0.001508943593005796
18,arima_lstm,1,0.38,2,0.17495332410000164,0.21686524385031403,1.1237053969138082,1.4463114993639292,-0.14994366285941085,lstm,1.1265512944940834,-0.002845897580275203
19,arima_lstm,1,0.38,2,0.1755835029000017,0.21765983033029168,1.1270436197105476,1.4516107328548615,-0.14994366285941085,lstm,1.1265512944940834,0.0004923252164641401
20,arima_lstm,1,0.38,2,0.17545997575000238,0.21750406881885054,1.133590775004199,1.445027974649964,-0.15051893294421348,lstm,1.1265512944940834,0.007039480510115492
21,arima_lstm,1,0.38,2,0.17540124218000175,0.21743000999490758,1.1264572424517367,1.453771606332345,-0.1495627023170799,lstm,1.1265512944940834,-9.405204234669284e-05
22,arima_lstm,1,0.38,2,0.17460868112000139,0.21643072596540924,1.1182003085919092,1.4431304539481007,-0.14997308481246474,lstm,1.1265512944940834,-0.008350985902174202
23,arima_lstm,1,0.38,2,0.17582468605000168,0.21796396038410282,1.1285647268969028,1.4536390283360536,-0.14994366285941085,lstm,1.1265512944940834,0.0020134324028193706
24,arima_lstm,1,0.38,2,0.17518016463000174,0.2171512542563252,1.125843026807866,1.4532842255709546,-0.1494210495342111,lstm,1.1265512944940834,-0.0007082676862173454
25,arima_lstm,1,0.38,2,0.17433005437000193,0.2160794600737348,1.1206298103883239,1.4410709726114517,-0.14994366285941085,lstm,1.1265512944940834,-0.005921484105759545
26,arima_lstm,1,0.38,2,0.17449986744000157,0.21629354195478467,1.1166153657487048,1.4382970759997986,-0.15038168787517925,lstm,1.1265512944940834,-0.00993592874537863
27,arima_lstm,1,0.38,2,0.17485284334000184,0.2167385571740683,1.124447898115427,1.45052225138095,-0.1494210495342111,lstm,1.1265512944940834,-0.00210339637865653
28,arima_lstm,1,0.38,2,0.17495332410000164,0.21686524385031403,1.1237053969138082,1.4463114993639292,-0.14994366285941085,lstm,1.1265512944940834,-0.002845897580275203
29,arima_lstm,1,0.38,2,0.17606147829000185,0.21826256672861866,1.1299010874515438,1.455630485252748,-0.14994366285941085,lstm,1.1265512944940834,0.003349792957460407
0,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
1,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
2,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
3,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
4,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
5,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
6,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
7,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
8,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
9,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
10,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
11,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
12,arima_lstm,2,0.21,1,0.18061436769000094,0.22400651733361499,1.126268577559019,1.4367204153458457,-0.1559151766349004,lstm,1.1265512944940834,-0.00028271693506431994
13,arima_lstm,2,0.21,1,0.17956135170000098,0.22267759771901385,1.1208961765512162,1.4281970653854181,-0.1559151766349004,lstm,1.1265512944940834,-0.005655117942867216
