pair,classifier_group,selected_global_tau,tau_count,tau_beating_stronger,tau_beating_simple_average,tau_beating_stronger_min,tau_beating_stronger_max,tau_within_0.01_sharpe_of_best
arima_lstm,1,0.38,89,0,61,,,55
arima_lstm,2,0.21,89,0,6,,,1
arima_lstm,3,0.17,89,0,0,,,2
arima_lstm,4,0.21,89,0,60,,,56
arima_lstm,5,0.21,89,0,4,,,2
arima_xgboost,1,0.29,89,56,55,0.26,0.89,4
arima_xgboost,2,0.28,89,8,8,0.22,0.29,2
arima_xgboost,3,0.23,89,2,2,0.22,0.23,1
arima_xgboost,4,0.27,89,5,5,0.23,0.28,2
arima_xgboost,5,0.27,89,6,6,0.23,0.29,3
xgboost_lstm,1,0.18,89,0,19,,,1
xgboost_lstm,2,0.18,89,20,23,0.01,0.2,1
xgboost_lstm,3,0.2,89,0,0,,,20
xgboost_lstm,4,0.18,89,19,21,0.01,0.19,1
xgboost_lstm,5,0.18,89,19,22,0.01,0.19,1
