repeat,window,pair,classifier_group,classifier_seed,calibration_source,calibration_start,calibration_end,trade_start,trade_end
0,1,ppo_tqc,1,1211079792,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,ppo_tqc,2,130762083,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,ppo_tqc,3,1006674006,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,ppo_tqc,4,2008052785,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,1,ppo_tqc,5,1279587218,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
0,2,ppo_tqc,1,822780671,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,ppo_tqc,2,107353175,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,ppo_tqc,3,644901229,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,ppo_tqc,4,1473231538,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,2,ppo_tqc,5,921513625,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
0,3,ppo_tqc,1,1532816138,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,ppo_tqc,2,204421261,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,ppo_tqc,3,1860855275,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,ppo_tqc,4,591967693,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,3,ppo_tqc,5,865659509,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
0,4,ppo_tqc,1,1982636129,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,ppo_tqc,2,1641594907,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,ppo_tqc,3,1245250546,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,ppo_tqc,4,1099117440,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
0,4,ppo_tqc,5,156208344,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
1,1,ppo_tqc,1,43949742,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,ppo_tqc,2,268094166,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,ppo_tqc,3,1400154612,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,ppo_tqc,4,598213589,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,1,ppo_tqc,5,1251611724,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
1,2,ppo_tqc,1,738217726,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,ppo_tqc,2,2069357779,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,ppo_tqc,3,284006254,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,ppo_tqc,4,429970245,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,2,ppo_tqc,5,906661157,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
1,3,ppo_tqc,1,1287913195,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
1,3,ppo_tqc,2,516398715,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
1,3,ppo_tqc,3,124408506,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
1,3,ppo_tqc,4,1873448920,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
1,3,ppo_tqc,5,1994783749,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
1,4,ppo_tqc,1,1918872337,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
1,4,ppo_tqc,2,1545468555,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
1,4,ppo_tqc,3,144170015,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
1,4,ppo_tqc,4,1165650534,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
1,4,ppo_tqc,5,2112183533,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
2,1,ppo_tqc,1,1980797783,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
2,1,ppo_tqc,2,808942959,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
2,1,ppo_tqc,3,295454722,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
2,1,ppo_tqc,4,466658099,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
2,1,ppo_tqc,5,222967297,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
2,2,ppo_tqc,1,1566292913,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
2,2,ppo_tqc,2,914983991,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
2,2,ppo_tqc,3,1715035809,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
2,2,ppo_tqc,4,259509127,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
2,2,ppo_tqc,5,999667058,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
2,3,ppo_tqc,1,773605859,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
2,3,ppo_tqc,2,589663031,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
2,3,ppo_tqc,3,1756260093,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
2,3,ppo_tqc,4,607524010,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
2,3,ppo_tqc,5,272382668,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
2,4,ppo_tqc,1,985821254,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
2,4,ppo_tqc,2,370673573,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
2,4,ppo_tqc,3,1083519189,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
2,4,ppo_tqc,4,514991141,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
2,4,ppo_tqc,5,1777540379,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
3,1,ppo_tqc,1,1450697685,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
3,1,ppo_tqc,2,550274294,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
3,1,ppo_tqc,3,1460142874,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
3,1,ppo_tqc,4,1626385561,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
3,1,ppo_tqc,5,503738009,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
3,2,ppo_tqc,1,16618038,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
3,2,ppo_tqc,2,702371551,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
3,2,ppo_tqc,3,460066607,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
3,2,ppo_tqc,4,201029428,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
3,2,ppo_tqc,5,341187780,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
3,3,ppo_tqc,1,1191883315,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
3,3,ppo_tqc,2,957103715,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
3,3,ppo_tqc,3,1648577669,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
3,3,ppo_tqc,4,747759099,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
3,3,ppo_tqc,5,776502233,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
3,4,ppo_tqc,1,1594832561,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
3,4,ppo_tqc,2,1594807665,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
3,4,ppo_tqc,3,1169113593,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
3,4,ppo_tqc,4,1034103251,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
3,4,ppo_tqc,5,456894806,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
4,1,ppo_tqc,1,1072701334,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
4,1,ppo_tqc,2,1668574376,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
4,1,ppo_tqc,3,1766778065,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
4,1,ppo_tqc,4,524211845,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
4,1,ppo_tqc,5,177999109,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
4,2,ppo_tqc,1,264212562,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
4,2,ppo_tqc,2,231741847,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
4,2,ppo_tqc,3,1982137471,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
4,2,ppo_tqc,4,59950311,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
4,2,ppo_tqc,5,1666348025,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
4,3,ppo_tqc,1,1481391506,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
4,3,ppo_tqc,2,1212056426,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
4,3,ppo_tqc,3,877834419,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
4,3,ppo_tqc,4,376264091,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
4,3,ppo_tqc,5,812642351,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
4,4,ppo_tqc,1,215484638,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
4,4,ppo_tqc,2,365251451,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
4,4,ppo_tqc,3,508251780,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
4,4,ppo_tqc,4,522139328,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
4,4,ppo_tqc,5,809407160,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
5,1,ppo_tqc,1,813276419,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
5,1,ppo_tqc,2,1324494727,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
5,1,ppo_tqc,3,1655847389,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
5,1,ppo_tqc,4,1307074734,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
5,1,ppo_tqc,5,725696701,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
5,2,ppo_tqc,1,1899332157,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
5,2,ppo_tqc,2,1550838284,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
5,2,ppo_tqc,3,1966090401,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
5,2,ppo_tqc,4,1117576180,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
5,2,ppo_tqc,5,1102741608,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
5,3,ppo_tqc,1,2122901824,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
5,3,ppo_tqc,2,1011024970,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
5,3,ppo_tqc,3,1750512673,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
5,3,ppo_tqc,4,1717242810,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
5,3,ppo_tqc,5,1022160031,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
5,4,ppo_tqc,1,1979231215,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
5,4,ppo_tqc,2,776827420,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
5,4,ppo_tqc,3,701407554,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
5,4,ppo_tqc,4,690004564,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
5,4,ppo_tqc,5,137406083,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
6,1,ppo_tqc,1,1671390950,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
6,1,ppo_tqc,2,1014586219,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
6,1,ppo_tqc,3,202943622,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
6,1,ppo_tqc,4,1128492078,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
6,1,ppo_tqc,5,303490997,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
6,2,ppo_tqc,1,481320794,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
6,2,ppo_tqc,2,1333608920,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
6,2,ppo_tqc,3,1484149664,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
6,2,ppo_tqc,4,1249627734,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
6,2,ppo_tqc,5,392577668,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
6,3,ppo_tqc,1,896972023,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
6,3,ppo_tqc,2,697401783,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
6,3,ppo_tqc,3,385799799,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
6,3,ppo_tqc,4,1471167924,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
6,3,ppo_tqc,5,894235987,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
6,4,ppo_tqc,1,1483523263,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
6,4,ppo_tqc,2,678771694,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
6,4,ppo_tqc,3,1485986930,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
6,4,ppo_tqc,4,1576680687,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
6,4,ppo_tqc,5,1373185368,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
7,1,ppo_tqc,1,1038637111,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
7,1,ppo_tqc,2,160470926,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
7,1,ppo_tqc,3,1956427203,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
7,1,ppo_tqc,4,296976453,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
7,1,ppo_tqc,5,1875271801,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
7,2,ppo_tqc,1,223592972,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
7,2,ppo_tqc,2,1433198432,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
7,2,ppo_tqc,3,1593960403,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
7,2,ppo_tqc,4,1557504546,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
7,2,ppo_tqc,5,301971002,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
7,3,ppo_tqc,1,540696579,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
7,3,ppo_tqc,2,1987828569,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
7,3,ppo_tqc,3,1853034944,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
7,3,ppo_tqc,4,1509854009,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
7,3,ppo_tqc,5,1994505617,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
7,4,ppo_tqc,1,2107368198,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
7,4,ppo_tqc,2,578855651,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
7,4,ppo_tqc,3,1099337063,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
7,4,ppo_tqc,4,1744679671,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
7,4,ppo_tqc,5,575736453,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
8,1,ppo_tqc,1,540382709,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
8,1,ppo_tqc,2,132671095,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
8,1,ppo_tqc,3,1926459993,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
8,1,ppo_tqc,4,1329842288,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
8,1,ppo_tqc,5,929195438,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
8,2,ppo_tqc,1,2131913994,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
8,2,ppo_tqc,2,1177693907,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
8,2,ppo_tqc,3,1507718218,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
8,2,ppo_tqc,4,197785105,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
8,2,ppo_tqc,5,1931881305,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
8,3,ppo_tqc,1,481405564,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
8,3,ppo_tqc,2,734886724,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
8,3,ppo_tqc,3,69858838,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
8,3,ppo_tqc,4,1142009441,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
8,3,ppo_tqc,5,2119710640,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
8,4,ppo_tqc,1,1803557654,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
8,4,ppo_tqc,2,1697144595,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
8,4,ppo_tqc,3,1745975995,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
8,4,ppo_tqc,4,1234273160,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
8,4,ppo_tqc,5,426782961,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
9,1,ppo_tqc,1,334743283,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
9,1,ppo_tqc,2,1870956547,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
9,1,ppo_tqc,3,1945835242,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
9,1,ppo_tqc,4,1489926856,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
9,1,ppo_tqc,5,272752764,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
9,2,ppo_tqc,1,995942934,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
9,2,ppo_tqc,2,1954359574,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
9,2,ppo_tqc,3,784212882,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
9,2,ppo_tqc,4,1517351669,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
9,2,ppo_tqc,5,426889935,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
9,3,ppo_tqc,1,1027414550,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
9,3,ppo_tqc,2,1889357743,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
9,3,ppo_tqc,3,1166463870,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
9,3,ppo_tqc,4,666039151,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
9,3,ppo_tqc,5,1760618482,previous_trade,2020-02-03,2020-04-30,2020-05-06,2020-08-04
9,4,ppo_tqc,1,1228971488,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
9,4,ppo_tqc,2,140403225,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
9,4,ppo_tqc,3,2039929410,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
9,4,ppo_tqc,4,260141746,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
9,4,ppo_tqc,5,628756556,previous_trade,2020-05-06,2020-08-04,2020-08-05,2020-08-31
10,1,ppo_tqc,1,1472515789,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
10,1,ppo_tqc,2,734194081,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
10,1,ppo_tqc,3,1191571048,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
10,1,ppo_tqc,4,2037897127,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
10,1,ppo_tqc,5,1323182315,train_tail,2019-07-23,2019-10-25,2019-10-28,2020-01-23
10,2,ppo_tqc,1,1239552185,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
10,2,ppo_tqc,2,531808454,previous_trade,2019-10-28,2020-01-23,2020-02-03,2020-04-30
