model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source,annualized_return
ppo,rolling_w1_100000_seed42,20000,True,20000,62,0.0986442124199999,1.941814404655,0.0287365262131433,-0.055778121609748,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,
ppo,rolling_w1_100000_seed42,40000,True,40000,62,0.1448946397599999,2.4496704016975968,0.0382813836128039,-0.0599046911586697,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,
ppo,rolling_w1_100000_seed42,60000,False,40000,62,0.1319078053600006,2.3089273864652258,0.0351202511346863,-0.0598842790425093,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,
ppo,rolling_w1_100000_seed42,80000,True,80000,62,0.1889540263199993,2.8712891282560173,0.0488397537237296,-0.0598524948505299,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,
ppo,rolling_w1_100000_seed42,100000,True,100000,62,0.2056372192799997,2.9321701215893734,0.0511997089824347,-0.0617992020026835,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,
tqc,rolling_w1_100000_seed42,20000,True,20000,62,0.2013448208299999,3.030723498759745,19.38863908587967,-0.0571318397696378,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,1.1077086216058154
tqc,rolling_w1_100000_seed42,40000,False,20000,62,0.1984879675899997,2.957489096068863,18.715496935865623,-0.058102141466288,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,1.087410450579544
tqc,rolling_w1_100000_seed42,60000,False,20000,62,0.2091572995599995,2.941326717980981,18.91410604415684,-0.0615401642370262,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,1.1639771923539426
tqc,rolling_w1_100000_seed42,80000,False,20000,62,0.1851697743500002,2.870014873654714,17.817319058455354,-0.0558289191660252,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,0.9947216654697856
tqc,rolling_w1_100000_seed42,100000,False,20000,62,0.1796904693199992,2.7152516298625287,16.583342548717447,-0.0577388544957504,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail,0.957503202473584
ppo,rolling_w2_100000_seed42,20000,True,20000,62,-0.0406374085899987,-2.597106628341479,-0.014747927114755,-0.0448103297222191,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade,
ppo,rolling_w2_100000_seed42,40000,True,40000,62,-0.1064978661699994,-2.10929282176733,-0.0145496517913976,-0.118941923743012,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade,
ppo,rolling_w2_100000_seed42,60000,False,40000,62,-0.0934204970599998,-2.135706582759385,-0.014653477950411,-0.1035714573351783,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade,
