repeat,pair,classifier_group,tau,equivalent_tau_paths,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,stronger_model,stronger_sharpe,delta_sharpe
0,ppo_tqc,1,0.26,1,0.5098706312400003,0.651352090740708,1.9323617119452794,3.5654599082941436,-0.18268389141762653,tqc,1.9048412229989393,0.02752048894634007
1,ppo_tqc,1,0.26,1,0.5108325696200002,0.6526329678369502,1.9352757717572295,3.572911700028023,-0.1826613761072885,tqc,1.9048412229989393,0.030434548758290214
2,ppo_tqc,1,0.26,1,0.5088030156200005,0.6499307059265895,1.9312402503782133,3.5616677101823786,-0.1824793211529857,tqc,1.9048412229989393,0.02639902737927402
3,ppo_tqc,1,0.26,1,0.5106784211300002,0.6524276981938382,1.934648242633669,3.571363552169049,-0.18268308131150346,tqc,1.9048412229989393,0.02980701963472976
4,ppo_tqc,1,0.26,1,0.5106784211300002,0.6524276981938382,1.934648242633669,3.571363552169049,-0.18268308131150346,tqc,1.9048412229989393,0.02980701963472976
5,ppo_tqc,1,0.26,1,0.5106784211300002,0.6524276981938382,1.934648242633669,3.571363552169049,-0.18268308131150346,tqc,1.9048412229989393,0.02980701963472976
6,ppo_tqc,1,0.26,1,0.5115887648200002,0.6536400103588169,1.9386770638250632,3.5819949692317348,-0.1824793211529857,tqc,1.9048412229989393,0.0338358408261239
7,ppo_tqc,1,0.26,1,0.5106747168199999,0.6524227654581636,1.9344995234970723,3.5713207135854432,-0.18268389141762653,tqc,1.9048412229989393,0.029658300498133006
8,ppo_tqc,1,0.26,1,0.5106784211300002,0.6524276981938382,1.934648242633669,3.571363552169049,-0.18268308131150346,tqc,1.9048412229989393,0.02980701963472976
9,ppo_tqc,1,0.26,1,0.5098743355500002,0.6513570229054937,1.9325102919779928,3.5655027177630494,-0.18268308131150346,tqc,1.9048412229989393,0.027669068979053524
10,ppo_tqc,1,0.26,1,0.5107846792400002,0.6525691948063814,1.936539031292155,3.576126821840186,-0.1824793211529857,tqc,1.9048412229989393,0.03169780829321578
11,ppo_tqc,1,0.26,1,0.5106747168199999,0.6524227654581636,1.9344995234970723,3.5713207135854432,-0.18268389141762653,tqc,1.9048412229989393,0.029658300498133006
12,ppo_tqc,1,0.26,1,0.5086164586300004,0.649682353135052,1.9305951013045546,3.560306718756236,-0.1824793211529857,tqc,1.9048412229989393,0.025753878305615263
13,ppo_tqc,1,0.26,1,0.5119783879100004,0.6541589231362659,1.9402339668975257,3.5864227042503303,-0.18239872348594355,tqc,1.9048412229989393,0.035392743898586376
14,ppo_tqc,1,0.26,1,0.5106784211300002,0.6524276981938382,1.934648242633669,3.571363552169049,-0.18268308131150346,tqc,1.9048412229989393,0.02980701963472976
15,ppo_tqc,1,0.26,1,0.5106784211300002,0.6524276981938382,1.934648242633669,3.571363552169049,-0.18268308131150346,tqc,1.9048412229989393,0.02980701963472976
16,ppo_tqc,1,0.26,1,0.5125825743900001,0.6549636559450105,1.9433018796340584,3.5938784545875286,-0.18224424231959202,tqc,1.9048412229989393,0.038460656635119106
17,ppo_tqc,1,0.26,1,0.5115887648200002,0.6536400103588169,1.9386770638250632,3.5819949692317348,-0.1824793211529857,tqc,1.9048412229989393,0.0338358408261239
18,ppo_tqc,1,0.26,1,0.5106784211300002,0.6524276981938382,1.934648242633669,3.571363552169049,-0.18268308131150346,tqc,1.9048412229989393,0.02980701963472976
