model,model_tag,timesteps,is_best,best_step_so_far,validation_samples,cumulative_return,annualized_return,sharpe,calmar,max_drawdown,window,train_start,train_end,calibration_start,calibration_end,calibration_source
td3,rolling_w1_100000_seed42,20000,True,20000,62,0.0614269999999996,0.2741802059118823,1.8506496347926196,8.124319239060343,-0.0337480837278858,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
td3,rolling_w1_100000_seed42,40000,False,20000,62,0.0614269999999996,0.2741802059118823,1.8506496347926196,8.124319239060343,-0.0337480837278858,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
td3,rolling_w1_100000_seed42,60000,False,20000,62,0.0614269999999996,0.2741802059118823,1.8506496347926196,8.124319239060343,-0.0337480837278858,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
td3,rolling_w1_100000_seed42,80000,False,20000,62,0.0614269999999996,0.2741802059118823,1.8506496347926196,8.124319239060343,-0.0337480837278858,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
td3,rolling_w1_100000_seed42,100000,False,20000,62,0.0614269999999996,0.2741802059118823,1.8506496347926196,8.124319239060343,-0.0337480837278858,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
tqc,rolling_w1_100000_seed42,20000,True,20000,62,0.2013448208299999,1.1077086216058154,3.030723498759745,19.38863908587967,-0.0571318397696378,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
tqc,rolling_w1_100000_seed42,40000,False,20000,62,0.1984879675899997,1.087410450579544,2.957489096068863,18.715496935865623,-0.058102141466288,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
tqc,rolling_w1_100000_seed42,60000,False,20000,62,0.2091572995599995,1.1639771923539426,2.941326717980981,18.91410604415684,-0.0615401642370262,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
tqc,rolling_w1_100000_seed42,80000,False,20000,62,0.1851697743500002,0.9947216654697856,2.870014873654714,17.817319058455354,-0.0558289191660252,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
tqc,rolling_w1_100000_seed42,100000,False,20000,62,0.1796904693199992,0.957503202473584,2.7152516298625287,16.583342548717447,-0.0577388544957504,1,2016-06-01,2019-07-22,2019-07-23,2019-10-25,train_tail
td3,rolling_w2_100000_seed42,20000,True,20000,62,-0.0020376978999996,-0.008256432709178,0.0210230564888354,-0.1827964928673751,-0.0451673474674834,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
td3,rolling_w2_100000_seed42,40000,False,20000,62,-0.0020376978999996,-0.008256432709178,0.0210230564888354,-0.1827964928673751,-0.0451673474674834,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
td3,rolling_w2_100000_seed42,60000,False,20000,62,-0.0020376978999996,-0.008256432709178,0.0210230564888354,-0.1827964928673751,-0.0451673474674834,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
td3,rolling_w2_100000_seed42,80000,False,20000,62,-0.0020376978999996,-0.008256432709178,0.0210230564888354,-0.1827964928673751,-0.0451673474674834,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
td3,rolling_w2_100000_seed42,100000,False,20000,62,-0.0020376978999996,-0.008256432709178,0.0210230564888354,-0.1827964928673751,-0.0451673474674834,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
tqc,rolling_w2_100000_seed42,20000,True,20000,62,-0.0983095892000003,-0.3433555390656522,-1.917724522995391,-2.7620512236114005,-0.1243117926743996,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
tqc,rolling_w2_100000_seed42,40000,True,40000,62,-0.0960010100600001,-0.3364954484515834,-1.8929312084486911,-2.7491802854689937,-0.1223984655463144,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
tqc,rolling_w2_100000_seed42,60000,True,60000,62,-0.0920625000999997,-0.3246673485300374,-1.8538707665177048,-2.7462973697145387,-0.1182200267568929,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
tqc,rolling_w2_100000_seed42,80000,False,60000,62,-0.0946085902399999,-0.33233174420948,-1.924403539460085,-2.760907964752356,-0.1203704536522966,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
tqc,rolling_w2_100000_seed42,100000,False,60000,62,-0.0986599879099996,-0.344392077906442,-1.8812916085256928,-2.7083219511791645,-0.1271606862531608,2,2016-06-01,2019-10-25,2019-10-28,2020-01-23,previous_trade
td3,rolling_w3_100000_seed42,20000,True,20000,62,0.0720889010000003,0.3270081002605622,1.3042514144025286,2.4797020787411,-0.1318739469003382,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
td3,rolling_w3_100000_seed42,40000,False,20000,62,0.0720889010000003,0.3270081002605622,1.3042514144025286,2.4797020787411,-0.1318739469003382,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
td3,rolling_w3_100000_seed42,60000,False,20000,62,0.0720889010000003,0.3270081002605622,1.3042514144025286,2.4797020787411,-0.1318739469003382,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
td3,rolling_w3_100000_seed42,80000,False,20000,62,0.0720889010000003,0.3270081002605622,1.3042514144025286,2.4797020787411,-0.1318739469003382,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
td3,rolling_w3_100000_seed42,100000,False,20000,62,0.0720889010000003,0.3270081002605622,1.3042514144025286,2.4797020787411,-0.1318739469003382,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
tqc,rolling_w3_100000_seed42,20000,True,20000,62,0.1645234802900006,0.8572083499298666,2.2143658814252163,5.701566216954032,-0.1503461184719549,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
tqc,rolling_w3_100000_seed42,40000,False,20000,62,0.1615887576100001,0.8382582736969111,2.2013908177452444,5.577398734262268,-0.1502955613604321,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
tqc,rolling_w3_100000_seed42,60000,False,20000,62,0.1551243984499999,0.797031100431532,2.1369529364755517,5.226633102385369,-0.1524941745131827,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
tqc,rolling_w3_100000_seed42,80000,False,20000,62,0.1548182865299998,0.7950962848403309,2.137980899740477,5.221280322005899,-0.152279945876354,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
tqc,rolling_w3_100000_seed42,100000,False,20000,62,0.1610329281299998,0.8346856594806285,2.202451620249496,5.49519866178412,-0.151893627665434,3,2016-06-01,2020-01-23,2020-02-03,2020-04-30,previous_trade
td3,rolling_w4_100000_seed42,20000,True,20000,62,0.2080562500300002,1.1559792257489745,3.5606298657492768,21.31935826279808,-0.054222046062528,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
td3,rolling_w4_100000_seed42,40000,False,20000,62,0.2080562500300002,1.1559792257489745,3.5606298657492768,21.31935826279808,-0.054222046062528,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
td3,rolling_w4_100000_seed42,60000,False,20000,62,0.2080562500300002,1.1559792257489745,3.5606298657492768,21.31935826279808,-0.054222046062528,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
td3,rolling_w4_100000_seed42,80000,False,20000,62,0.2080562500300002,1.1559792257489745,3.5606298657492768,21.31935826279808,-0.054222046062528,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
td3,rolling_w4_100000_seed42,100000,False,20000,62,0.2080562500300002,1.1559792257489745,3.5606298657492768,21.31935826279808,-0.054222046062528,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
tqc,rolling_w4_100000_seed42,20000,True,20000,62,0.2612659437799993,1.568800239361098,3.194833414704956,15.465509820094274,-0.101438637174622,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
tqc,rolling_w4_100000_seed42,40000,True,40000,62,0.2636787631800001,1.5888325090525308,3.253963805182454,15.756154899509974,-0.1008388480048482,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
tqc,rolling_w4_100000_seed42,60000,False,40000,62,0.2590128249100001,1.5501996075549562,3.186961988122013,14.942381218319625,-0.1037451517870782,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
tqc,rolling_w4_100000_seed42,80000,False,40000,62,0.2602704904300006,1.5605697020447962,3.1963978187388227,15.03384534372838,-0.1038037618696013,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
tqc,rolling_w4_100000_seed42,100000,True,100000,62,0.2837372677600003,1.7599617180242997,3.610335442356946,19.0808933114858,-0.0922368617283178,4,2016-06-01,2020-04-30,2020-05-06,2020-08-04,previous_trade
